,,,,,,,,Numero,deCasossegun,FechadeIniciodeSintomas.Notificacion,oToma,deMuestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 ,SE SE 18 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 ,SE SE SE 25 26 27 
Andacollo ,11791 ,38 ,322.3 ,1 ,8.5 ,8 ,67.8 ,8 ,67.8 ,O 0 0 0 0 0 0 O 0 ,2 7 ,3 3 ,7 ,5 O ,5 6 O 
Canela ,9546 ,14 ,146.7 ,1 ,10.5 ,7 ,73.3 ,7 ,73.3 ,0 O 0 0 0 0 0 0 0 ,1 0 ,2 0 ,2 ,2 O ,1 6 0 
Combarbala ,13884 ,30 ,216.1 ,O ,0.0 ,1 ,7.2 ,1 ,7.2 ,O O O O O O 0 O O ,2 3 ,4 3 ,5 ,3 2 ,7 1 0 
Coquimbo8 ,256735 ,1044 ,406.6 ,6 ,2.3 ,223 ,86.9 ,223 ,86.9 ,O O 4 13 3 1 1 6 8 ,23 84 ,85 70 ,150 ,144 148 ,174 129 1 
Illapel8 ,32801 ,128 ,390.2 ,O ,0.0 ,42 ,128.0 ,42 ,128.0 ,O O O 0 4 7 7 O O ,1 O ,1 6 ,21 ,14 18 ,19 30 O 
La Higuera& ,4450 ,3 ,67.4 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 0 0 0 0 0 ,0 0 ,O 0 ,1 ,2 O ,0 0 0 
La Serena& ,249656 ,874 ,350.1 ,8 ,3.2 ,198 ,79.3 ,198 ,79.3 ,0 O 0 3 6 4 3 3 5 ,17 50 ,50 76 ,115 ,115 130 ,191 104 2 
LOs Vilos& ,23374 ,51 ,218.2 ,1 ,4.3 ,27 ,115.5 ,27 ,115.5 ,0 O 0 1 0 0 0 0 0 ,0 1 ,O 3 ,5 ,6 8 ,13 14 0 
Monte Patria& ,32527 ,191 ,587.2 ,1 ,3.1 ,36 ,110.7 ,36 ,110.7 ,O O 0 0 0 O O O O ,1 6 ,19 25 ,27 ,24 45 ,20 24 0 
Ovalle& ,121269 ,863 ,711.6 ,8 ,6.6 ,160 ,131.9 ,160 ,131.9 ,0 O 3 2 4 2 0 5 1 ,15 32 ,47 58 ,114 ,171 181 ,146 81 1 
Paiguano ,4675 ,7 ,149.7 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 0 O 0 O 0 ,0 0 ,O 2 ,2 ,1 2 ,0 0 0 
Punitaqui ,12165 ,51 ,419.2 ,2 ,16.4 ,10 ,82.2 ,10 ,82.2 ,0 O 0 0 0 0 0 1 1 ,3 6 ,O 4 ,16 ,2 7 ,5 6 0 
Rio Hurtado ,4372 ,17 ,388.8 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O 0 1 O 0 O O 0 ,1 0 ,1 2 ,5 ,6 1 ,0 O 0 
Salamanca& ,29110 ,56 ,192.4 ,0 ,0.0 ,3 ,10.3 ,3 ,10.3 ,0 O 0 1 2 1 2 1 0 ,3 2 ,2 5 ,15 ,14 3 ,3 2 0 
Vicuna ,29741 ,34 ,114.3 ,O ,0.0 ,3 ,10.1 ,3 ,10.1 ,0 O 0 0 0 0 1 O 1 ,3 5 ,3 5 ,4 ,7 2 ,1 2 0 
Desconocido& ,- ,153 ,- ,0 ,- ,83 ,- ,83 ,- ,0 O 0 1 0 1 0 1 1 ,1 1 ,3 10 ,8 ,9 29 ,19 66 3 
Total ,836096 ,3554 ,425.1 ,28 ,3.3 ,801 ,95.8 ,801 ,95.8 ,0 0 7 22 19 16 14 17 17 ,73 197 ,220 272 ,497 ,525 576 ,604 471 7 
