,Hospitalizados,,Sin,Hospitalizacion
Signos / Sintoma ,No ,% ,No ,% 
Tos ,18315 ,60.8 ,202620 ,54.8 
Fiebre ,14182 ,47.1 ,128539 ,34.8 
Disnea ,13438 ,44.6 ,40713 ,11.0 
Mialgia ,12635 ,42.0 ,204006 ,55.2 
Cefalea ,9991 ,33.2 ,219278 ,59.3 
Odinofagia ,5001 ,16.6 ,121484 ,32.9 
Taquipnea ,4071 ,13.5 ,3903 ,1.1 
Otros ,3555 ,11.8 ,36065 ,9.8 
Dolor toracico ,3498 ,11.6 ,33309 ,9.0 
Diarrea ,2620 ,8.7 ,37904 ,10.3 
Dolor abdominal ,2051 ,6.8 ,22379 ,6.1 
Anosmia ,1662 ,5.5 ,68628 ,18.6 
Ageusia ,1441 ,4.8 ,54416 ,14.7 
Postracion ,714 ,2.4 ,1873 ,0.5 
Cianosis ,681 ,2.3 ,340 ,0.1 
