Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Chepica ,& 15925 ,152 ,954.5 ,4 ,25.1 ,14 ,87.9 ,14 ,87.9 
Chimbarongo ,37696 ,185 ,490.8 ,4 ,10.6 ,19 ,50.4 ,19 ,50.4 
Codegua ,14096 ,201 ,1425.9 ,5 ,35.5 ,17 ,120.6 ,17 ,120.6 
Coinco ,7831 ,111 ,1417.4 ,3 ,38.3 ,9 ,114.9 ,9 ,114.9 
Coltauco ,& 21263 ,205 ,964.1 ,6 ,28.2 ,44 ,206.9 ,44 ,206.9 
Donihue ,22700 ,397 ,1748.9 ,6 ,26.4 ,27 ,118.9 ,27 ,118.9 
Graneros ,36504 ,464 ,1271.1 ,3 ,8.2 ,28 ,76.7 ,28 ,76.7 
La Estrella ,3114 ,35 ,1124.0 ,O ,0.0 ,1 ,32.1 ,1 ,32.1 
Las Cabras ,26749 ,201 ,751.4 ,6 ,22.4 ,11 ,41.1 ,11 ,41.1 
Litueche ,6765 ,79 ,1167.8 ,2 ,29.6 ,5 ,73.9 ,5 ,73.9 
Lolol ,7289 ,48 ,658.5 ,2 ,27.4 ,2 ,27.4 ,2 ,27.4 
Machali ,59913 ,965 ,1610.7 ,10 ,16.7 ,51 ,85.1 ,51 ,85.1 
Malloa ,14163 ,127 ,896.7 ,4 ,28.2 ,26 ,183.6 ,26 ,183.6 
Marchihue ,7632 ,29 ,380.0 ,0 ,0.0 ,5 ,65.5 ,5 ,65.5 
Mostazal ,27462 ,247 ,899.4 ,5 ,18.2 ,24 ,87.4 ,24 ,87.4 
Nancagua ,19141 ,94 ,491.1 ,3 ,15.7 ,4 ,20.9 ,4 ,20.9 
Navidad ,6904 ,75 ,1086.3 ,1 ,14.5 ,1 ,14.5 ,1 ,14.5 
Olivar ,14624 ,198 ,1353.9 ,4 ,27.4 ,14 ,95.7 ,14 ,95.7 
Palmilla ,13299 ,43 ,323.3 ,3 ,22.6 ,4 ,30.1 ,4 ,30.1 
Paredones ,6349 ,22 ,346.5 ,1 ,15.8 ,4 ,63.0 ,4 ,63.0 
Peralillo ,11848 ,54 ,455.8 ,1 ,8.4 ,1 ,8.4 ,1 ,8.4 
