Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Alto Biobio ,6775 ,177 ,2612.5 ,1 ,14.8 ,1 ,14.8 
Antuco ,4306 ,64 ,1486.3 ,1 ,23.2 ,1 ,23.2 
Arauco ,& 38679 ,545 ,1409.0 ,89 ,230.1 ,89 ,230.1 
Cabrero ,30725 ,193 ,628.2 ,28 ,91.1 ,28 ,91.1 
Canete ,& 37003 ,210 ,567.5 ,54 ,145.9 ,54 ,145.9 
Chiguayante ,& 91180 ,965 ,1058.3 ,199 ,218.2 ,198 ,217.2 
Concepcion ,& 238092 ,2636 ,1107.1 ,441 ,185.2 ,441 ,185.2 
Contulmo ,6330 ,52 ,821.5 ,4 ,63.2 ,4 ,63.2 
Coronel ,& 125829 ,1857 ,1475.8 ,175 ,139.1 ,174 ,138.3 
Curanilahue ,33892 ,248 ,731.7 ,17 ,50.2 ,17 ,50.2 
Florida ,11841 ,86 ,726.3 ,17 ,143.6 ,17 ,143.6 
Hualpen ,& 97273 ,1182 ,1215.1 ,200 ,205.6 ,198 ,203.6 
Hualqui ,& 26201 ,363 ,1385.4 ,59 ,225.2 ,59 ,225.2 
Laja ,23873 ,200 ,837.8 ,8 ,33.5 ,8 ,33.5 
Lebu ,& 27100 ,70 ,258.3 ,16 ,59.0 ,16 ,59.0 
Los Alamos ,22524 ,185 ,821.3 ,17 ,75.5 ,17 ,75.5 
Los Angeles ,& 218515 ,1392 ,637.0 ,104 ,47.6 ,103 ,47.1 
Lota ,& 45750 ,588 ,1285.2 ,73 ,159.6 ,73 ,159.6 
Mulchen ,31041 ,186 ,599.2 ,40 ,128.9 ,40 ,128.9 
Nacimiento ,27944 ,204 ,730.0 ,25 ,89.5 ,25 ,89.5 
Negrete ,10429 ,170 ,1630.1 ,25 ,239.7 ,25 ,239.7 
