,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE 15 16 ,SE SE SE 17 18 19 ,SE 20 ,SE SE SE 21 22 23 
Bulnes ,22607 ,178 ,787.4 ,33 ,146.0 ,33 ,146.0 ,O 0 O ,10 27 10 ,7 7 ,6 9 23 ,43 ,25 11 0 
Chillan ,198624 ,601 ,302.6 ,83 ,41.8 ,83 ,41.8 ,0 1 28 ,119 116 76 ,33 25 ,17 15 20 ,62 ,55 34 0 
Chillan Viejo ,33827 ,100 ,295.6 ,19 ,56.2 ,19 ,56.2 ,0 0 5 ,7 19 7 ,14 3 ,1 0 4 ,16 ,20 4 O 
Cobquecura ,5275 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O 0 O ,0 O O ,O 0 ,0 0 0 ,O ,O 0 0 
Coelemu ,16845 ,21 ,124.7 ,14 ,83.1 ,14 ,83.1 ,O 0 0 ,O 2 2 ,O 0 ,0 O 0 ,2 ,7 8 O 
Coihueco ,28375 ,53 ,186.8 ,1 ,3.5 ,1 ,3.5 ,0 0 O ,2 3 4 ,6 12 ,12 3 1 ,8 ,1 1 0 
EI Carmen ,12334 ,17 ,137.8 ,10 ,81.1 ,10 ,81.1 ,O O O ,2 O 1 ,O O ,O O 1 ,3 ,5 5 0 
Ninhue' ,5414 ,10 ,184.7 ,4 ,73.9 ,2 ,36.9 ,0 O O ,O O 2 ,O 2 ,O O 1 ,1 ,2 2 O 
Niquen ,11567 ,11 ,95.1 ,4 ,34.6 ,4 ,34.6 ,0 0 O ,O 0 1 ,2 0 ,0 0 0 ,4 ,2 2 0 
Pemuco ,8639 ,11 ,127.3 ,1 ,11.6 ,1 ,11.6 ,0 0 O ,1 0 4 ,1 0 ,0 0 3 ,1 ,O 1 0 
Pinto ,11880 ,15 ,126.3 ,O ,0.0 ,O ,0.0 ,O O 0 ,2 3 5 ,1 1 ,O O O ,3 ,O O O 
Portezuelo ,4940 ,7 ,141.7 ,2 ,40.5 ,2 ,40.5 ,O O O ,O 0 O ,0 0 ,O 0 1 ,4 ,2 O 0 
Quillon ,18777 ,55 ,292.9 ,13 ,69.2 ,13 ,69.2 ,0 0 0 ,8 8 8 ,1 0 ,2 2 2 ,9 ,6 9 0 
Quirihue ,12192 ,20 ,164.0 ,4 ,32.8 ,4 ,32.8 ,0 O 0 ,0 1 2 ,0 1 ,0 1 7 ,4 ,1 3 0 
Ranquil ,6261 ,10 ,159.7 ,0 ,0.0 ,O ,0.0 ,O O 0 ,1 3 6 ,O 0 ,O 0 O ,O ,O O O 
San Carlos ,56252 ,71 ,126.2 ,18 ,32.0 ,18 ,32.0 ,0 O 2 ,5 10 9 ,2 3 ,3 3 5 ,9 ,11 9 0 
San Fabian ,4654 ,8 ,171.9 ,0 ,0.0 ,O ,0.0 ,O 0 0 ,3 3 1 ,0 1 ,0 O 0 ,O ,O O 0 
San Ignacio ,16624 ,26 ,156.4 ,11 ,66.2 ,11 ,66.2 ,O 0 0 ,2 2 1 ,O 1 ,3 3 O ,2 ,7 5 O 
San Nicolas ,12172 ,26 ,213.6 ,4 ,32.9 ,4 ,32.9 ,O 0 O ,2 6 4 ,4 0 ,0 0 2 ,2 ,5 1 O 
Treguaco ,5696 ,1 ,17.6 ,0 ,0.0 ,O ,0.0 ,0 O O ,0 0 0 ,0 0 ,0 0 0 ,1 ,O 0 0 
