,,,CasosAcumulados,,,Casos,Tasaincidencia,Tasamortalidad,Tasa
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Total ,Fallecidos ,acumulada ,acumulada ,Letalidad 
Region de Arica y Parinacota ,252110 ,3182 ,6 ,141 ,3329 ,38 ,1320.5 ,15.1 ,1.1% 
Region de Tarapaca ,382773 ,7389 ,372 ,214 ,7975 ,140 ,2083.5 ,36.6 ,1.8% 
Region de Antofagasta ,691854 ,13029 ,197 ,567 ,13793 ,297 ,1993.6 ,42.9 ,2.2% 
Region de Atacama ,314709 ,1881 ,14 ,34 ,1929 ,9 ,612.9 ,2.9 ,0.5% 
Region de Coquimbo ,836096 ,4780 ,138 ,547 ,5465 ,53 ,653.6 ,6.3 ,1.0% 
Region de Valparaiso ,1960170 ,15356 ,415 ,3372 ,19143 ,437 ,976.6 ,22.3 ,2.3% 
Region Metropolitana de Santiago ,8125072 ,228500 ,18446 ,28948 ,275894 ,7306 ,3395.6 ,89.9 ,2.6% 
Region del Libertador General Bernardo OHiggins ,991063 ,9382 ,90 ,1659 ,11131 ,178 ,1123.1 ,18.0 ,1.6% 
Region de Maule ,1131939 ,7844 ,40 ,624 ,8508 ,125 ,751.6 ,11.0 ,1.5% 
Region del Nuble ,511551 ,3242 ,8 ,761 ,4011 ,53 ,784.1 ,10.4 ,1.3% 
Region de Biobio ,1663696 ,9446 ,145 ,1139 ,10730 ,96 ,644.9 ,5.8 ,0.9% 
Region de la Araucania ,1014343 ,3745 ,2 ,53 ,3800 ,68 ,374.6 ,6.7 ,1.8% 
Region de LOs Rios ,405835 ,837 ,6 ,13 ,856 ,12 ,210.9 ,3.0 ,1.4% 
Region de Los Lagos ,891440 ,2741 ,44 ,201 ,2986 ,30 ,335.0 ,3.4 ,1.0% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,69 ,0 ,O ,69 ,0 ,64.3 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1539 ,70 ,21 ,1630 ,28 ,913.9 ,15.7 ,1.7% 
Desconocida ,- ,0 ,74 ,0 ,74 ,0 ,- ,- ,0.0% 
Total pais ,19458310 ,312962 ,20067 ,38294 ,371323 ,8870 ,1908.3 ,45.6 ,2.4% 
