Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,100 ,235.5 ,1 ,2.4 ,O ,0.0 ,0 ,0.0 
Calbuco ,& 36744 ,128 ,348.4 ,1 ,2.7 ,53 ,144.2 ,53 ,144.2 
Castro ,47607 ,10 ,21.0 ,O ,0.0 ,1 ,2.1 ,1 ,2.1 
Chaiten ,5020 ,10 ,199.2 ,O ,0.0 ,9 ,179.3 ,9 ,179.3 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cochamo ,4006 ,8 ,199.7 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,4 ,98.4 ,4 ,98.4 
Dalcahue ,15069 ,7 ,46.5 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Fresia ,& 12656 ,20 ,158.0 ,1 ,7.9 ,3 ,23.7 ,3 ,23.7 
Frutillar ,& 20223 ,138 ,682.4 ,O ,0.0 ,68 ,336.3 ,68 ,336.3 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,9525 ,12 ,126.0 ,O ,0.0 ,2 ,21.0 ,2 ,21.0 
Llanquihue ,& 18621 ,76 ,408.1 ,1 ,5.4 ,26 ,139.6 ,26 ,139.6 
LOs Muermos ,17817 ,40 ,224.5 ,0 ,0.0 ,14 ,78.6 ,14 ,78.6 
Maullin ,& 14894 ,41 ,275.3 ,0 ,0.0 ,17 ,114.1 ,17 ,114.1 
Osorno ,& 173410 ,564 ,325.2 ,12 ,6.9 ,45 ,26.0 ,45 ,26.0 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Puerto Montt ,& 269398 ,955 ,354.5 ,6 ,2.2 ,290 ,107.6 ,290 ,107.6 
Puerto Octay ,& 9192 ,9 ,97.9 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Puerto Varas ,& 48620 ,98 ,201.6 ,1 ,2.1 ,11 ,22.6 ,11 ,22.6 
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
