Comuna,SESESESE,SESE,SESE,SESE,SE,SE,SESE,SE,SE,SE,SE,SE,SESE,SE
,9 10 11 12 ,13 14 ,15 16 ,17 18 ,19 ,20 ,21 22 ,23 ,24 ,25 ,26 ,27 ,28 29 ,30 
Cauquenes ,& O O O O ,2 3 ,1 9 ,2 1 ,6 ,13 ,14 53 ,55 ,44 ,50 ,43 ,28 ,43 19 ,O 
Chanco ,O O O O ,1 O ,0 1 ,1 O ,1 ,0 ,1 0 ,8 ,6 ,9 ,1 ,1 ,10 6 ,O 
Colbun ,O O O O ,3 3 ,O O ,O 1 ,4 ,9 ,13 15 ,10 ,22 ,23 ,15 ,22 ,15 16 ,5 
Constitucion ,0 O O O ,3 3 ,5 7 ,4 1 ,2 ,3 ,5 6 ,20 ,24 ,45 ,51 ,38 ,40 48 ,15 
Curepto ,0 O O 0 ,O 2 ,2 4 ,O 1 ,1 ,2 ,O 1 ,1 ,3 ,10 ,6 ,5 ,1 5 ,1 
Curico ,& O 1 2 3 ,6 3 ,12 10 ,10 12 ,20 ,44 ,148 192 ,276 ,262 ,236 ,218 ,167 ,156 116 ,18 
Empedrado ,O O O O ,O O ,O O ,O O ,O ,O ,O O ,2 ,6 ,14 ,4 ,1 ,2 1 ,O 
Hualane ,0 O O O ,O 0 ,O 1 ,O O ,O ,3 ,15 29 ,29 ,20 ,11 ,4 ,1 ,O 2 ,O 
Licanten ,O O O O ,O 1 ,O 1 ,O O ,O ,O ,O 2 ,5 ,4 ,5 ,1 ,O ,2 O ,O 
Linares ,& 1 O O 2 ,5 5 ,4 6 ,3 4 ,13 ,17 ,18 30 ,42 ,82 ,92 ,78 ,81 ,85 52 ,14 
Longavi ,& O O O 1 ,O 1 ,1 1 ,O 2 ,5 ,12 ,11 23 ,28 ,52 ,34 ,24 ,29 ,26 5 ,1 
Maule ,& 0 O O 1 ,1 2 ,6 12 ,3 O ,3 ,14 ,13 30 ,34 ,37 ,49 ,38 ,56 ,48 51 ,4 
Molina ,& 0 O O 1 ,2 0 ,1 3 ,O O ,2 ,4 ,9 21 ,23 ,22 ,44 ,46 ,20 ,30 19 ,1 
Parral ,& O O O 1 ,3 2 ,2 2 ,O O ,6 ,7 ,42 55 ,29 ,25 ,31 ,13 ,17 ,15 10 ,O 
Pelarco ,& O O O O ,O O ,3 2 ,O 2 ,4 ,5 ,4 5 ,6 ,4 ,3 ,3 ,3 ,14 19 ,8 
Pelluhue ,& 0 O O 1 ,O O ,1 O ,O O ,1 ,7 ,1 9 ,12 ,15 ,10 ,O ,3 ,1 1 ,1 
Pencahue ,O O O O ,O O ,O 3 ,O O ,O ,O ,8 4 ,2 ,7 ,3 ,5 ,11 ,8 3 ,O 
Rauco ,& 0 O O 0 ,1 1 ,O 1 ,O O ,1 ,1 ,7 7 ,7 ,15 ,3 ,9 ,9 ,18 15 ,2 
Retiro ,O O O O ,O O ,1 O ,O 1 ,O ,1 ,17 42 ,14 ,18 ,12 ,12 ,12 ,2 2 ,1 
Rio Claro ,O O O 2 ,O 1 ,1 3 ,2 O ,2 ,2 ,1 8 ,3 ,4 ,14 ,12 ,18 ,2 4 ,6 
Romeral ,& O O O 1 ,2 O ,O 10 ,O O ,O ,8 ,13 20 ,23 ,35 ,58 ,34 ,13 ,7 14 ,1 
Sagrada Familia ,& O O O O ,O 1 ,O 1 ,O 1 ,1 ,O ,3 7 ,17 ,8 ,10 ,9 ,11 ,9 7 ,1 
San Clemente ,& 0 1 O 0 ,O 1 ,2 7 ,1 7 ,7 ,14 ,18 20 ,39 ,43 ,58 ,87 ,77 ,56 45 ,4 
San Javier ,& O O O 1 ,2 7 ,4 7 ,4 3 ,7 ,8 ,9 22 ,53 ,41 ,42 ,30 ,46 ,54 46 ,9 
San Rafae ,O O O O ,1 O ,1 1 ,O O ,5 ,10 ,28 7 ,17 ,8 ,11 ,14 ,12 ,6 3 ,1 
,,,,,,,,,,,,,,
