Comuna,No,Poblacion,Tasa
Angol ,13 ,56058 ,23.2 
Carahue ,- ,25486 ,7.8 
Cholchol ,- ,12341 ,16.2 
Collipulli ,- ,26148 ,0.0 
Cunco ,- ,18055 ,0.0 
Curacautin ,- ,18178 ,0.0 
Curarrehue ,- ,7802 ,25.6 
Ercilla ,- ,8458 ,0.0 
Freire ,- ,25446 ,7.9 
Galvarino ,- ,12633 ,7.9 
Gorbea ,6 ,15148 ,39.6 
Lautaro ,8 ,40746 ,19.6 
Loncoche ,- ,24739 ,8.1 
Lonquimay ,- ,11049 ,0.0 
Los Sauces ,- ,7517 ,0.0 
Lumaco ,- ,10050 ,0.0 
Melipeuco ,- ,6265 ,0.0 
Nueva Imperial ,- ,33777 ,5.9 
Padre Las Casas ,14 ,82110 ,17.1 
Perquenco ,- ,7223 ,13.8 
Pitrufquen ,6 ,26096 ,23.0 
Pucon ,- ,29782 ,10.1 
Puren ,- ,12188 ,8.2 
Renaico ,- ,10833 ,0.0 
Saavedra ,- ,12793 ,0.0 
Temuco ,225 ,302931 ,74.3 
Teodoro Schmidt ,4 ,15786 ,25.3 
Tolten ,- ,10055 ,29.8 
Traiguen ,- ,19314 ,0.0 
Victoria ,7 ,35467 ,19.7 
Vilcun ,5 ,30766 ,16.3 
Villarrica ,4 ,59103 ,6.8 
Por determinar ,30 ,,
Total ,343 ,1014343 ,33.8 
