,,,,,,,,,Numero,deCasossegunFecha,de,Iniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE 17 ,SE SE 18 19 ,SE 20 ,SE SE 21 22 ,SE 23 
Antofagasta ,425725 ,2106 ,494.7 ,27 ,6.3 ,351 ,82.4 ,349 ,82.0 ,O 1 2 28 ,31 41 ,58 106 ,159 ,214 299 ,308 ,293 309 ,235 
Calama& ,190336 ,1138 ,597.9 ,29 ,15.2 ,225 ,118.2 ,221 ,116.1 ,1 1 2 3 ,2 7 ,14 16 ,38 ,49 84 ,221 ,261 286 ,151 
Maria Elena ,6814 ,172 ,2524.2 ,3 ,44.0 ,6 ,88.1 ,6 ,88.1 ,1 O 0 O ,O O ,5 9 ,16 ,42 42 ,30 ,13 10 ,4 
Mejillones ,14776 ,280 ,1895.0 ,4 ,27.1 ,1 ,6.8 ,1 ,6.8 ,O O 0 O ,1 8 ,15 18 ,30 ,76 45 ,51 ,19 16 ,1 
Ollague ,287 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 O ,O O ,O O ,0 ,O O ,0 ,0 O ,O 
San Pedro de Atacama ,10434 ,14 ,134.2 ,O ,0.0 ,2 ,19.2 ,2 ,19.2 ,O O 0 2 ,1 1 ,0 O ,1 ,O 0 ,1 ,4 2 ,2 
Sierra Gorda ,1746 ,26 ,1489.1 ,0 ,0.0 ,7 ,400.9 ,7 ,400.9 ,O O 0 O ,O O ,O O ,0 ,3 5 ,5 ,3 10 ,O 
Taltal ,13657 ,41 ,300.2 ,0 ,0.0 ,6 ,43.9 ,6 ,43.9 ,O O 0 O ,0 2 ,3 2 ,1 ,1 3 ,12 ,6 7 ,4 
Tocopilla& ,28079 ,44 ,156.7 ,1 ,3.6 ,5 ,17.8 ,5 ,17.8 ,0 0 O 2 ,0 4 ,5 0 ,1 ,2 7 ,8 ,8 2 ,5 
Total ,691854 ,3821 ,552.3 ,64 ,9.3 ,603 ,87.2 ,597 ,86.3 ,2 2 4 35 ,35 63 ,100 151 ,246 ,387 485 ,636 ,607 642 ,402 
