,,,,,,,,,NumerodeCasos,segunFechadeIniciode,Sintomas.,NotificacionO,Tomade,Muestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE 16 ,SE SE SE 17 18 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 ,SE 25 ,SE SE 26 27 ,SE 28 
Cauquenes ,44143 ,328 ,743.0 ,6 ,13.6 ,49 ,111.0 ,49 ,111.0 ,0 0 0 O 2 3 1 ,9 ,2 1 6 ,13 14 ,52 ,55 44 ,51 ,39 30 ,6 
Chanco ,9331 ,30 ,321.5 ,O ,0.0 ,1 ,10.7 ,1 ,10.7 ,0 0 0 O 1 0 0 ,1 ,1 0 1 ,0 1 ,0 ,8 6 ,9 ,1 1 ,0 
Colbun ,22565 ,143 ,633.7 ,O ,0.0 ,29 ,128.5 ,29 ,128.5 ,0 0 0 O 3 3 0 ,0 ,0 1 4 ,9 13 ,15 ,10 23 ,23 ,14 22 ,3 
Constitucion ,50348 ,216 ,429.0 ,3 ,6.0 ,50 ,99.3 ,49 ,97.3 ,0 O 0 O 3 3 5 ,7 ,4 1 2 ,3 5 ,6 ,20 24 ,47 ,52 30 ,4 
Curepto ,9426 ,38 ,403.1 ,2 ,21.2 ,8 ,84.9 ,8 ,84.9 ,0 0 0 0 0 3 2 ,3 ,0 1 1 ,2 0 ,1 ,1 3 ,10 ,6 5 ,O 
Curico& ,163626 ,1626 ,993.7 ,21 ,12.8 ,233 ,142.4 ,233 ,142.4 ,O 1 2 3 6 3 12 ,10 ,10 12 20 ,45 149 ,192 ,276 263 ,234 ,218 142 ,28 
Empedrado ,4206 ,27 ,641.9 ,0 ,0.0 ,1 ,23.8 ,1 ,23.8 ,0 O 0 O 0 0 0 ,0 ,0 0 O ,O 0 ,O ,2 6 ,14 ,4 1 ,O 
Hualane ,10222 ,113 ,1105.5 ,2 ,19.6 ,1 ,9.8 ,1 ,9.8 ,0 0 0 O 0 0 0 ,1 ,0 0 0 ,3 15 ,29 ,29 20 ,11 ,4 1 ,O 
Licanten ,6989 ,20 ,286.2 ,1 ,14.3 ,2 ,28.6 ,2 ,28.6 ,0 0 0 0 0 1 0 ,1 ,0 0 O ,O O ,2 ,5 4 ,5 ,1 0 ,1 
Linares& ,101073 ,493 ,487.8 ,7 ,6.9 ,113 ,111.8 ,113 ,111.8 ,1 0 O 2 5 5 4 ,6 ,3 4 13 ,17 18 ,30 ,42 82 ,94 ,79 74 ,14 
Longavi ,32810 ,220 ,670.5 ,2 ,6.1 ,34 ,103.6 ,34 ,103.6 ,0 0 0 1 0 1 1 ,1 ,0 2 5 ,12 11 ,23 ,28 51 ,32 ,25 22 ,5 
Maule& ,60000 ,301 ,501.7 ,1 ,1.7 ,70 ,116.7 ,70 ,116.7 ,0 0 0 1 1 2 6 ,13 ,2 0 3 ,13 13 ,30 ,34 34 ,49 ,45 52 ,3 
Molina& ,49800 ,204 ,409.6 ,7 ,14.1 ,33 ,66.3 ,32 ,64.3 ,O O O 1 2 O 1 ,3 ,O O 2 ,4 9 ,22 ,24 22 ,45 ,47 19 ,3 
Parral& ,44544 ,240 ,538.8 ,2 ,4.5 ,20 ,44.9 ,20 ,44.9 ,0 O O 1 3 2 2 ,2 ,O 0 6 ,7 42 ,55 ,31 25 ,30 ,17 16 ,1 
Pelarco ,9083 ,44 ,484.4 ,1 ,11.0 ,5 ,55.0 ,5 ,55.0 ,0 0 0 O 0 0 3 ,2 ,O 2 4 ,5 4 ,5 ,6 3 ,3 ,3 2 ,2 
Pelluhue ,8092 ,59 ,729.1 ,1 ,12.4 ,3 ,37.1 ,3 ,37.1 ,0 0 0 1 0 O 1 ,O ,0 0 1 ,7 1 ,9 ,12 14 ,10 ,0 3 ,O 
Pencahue ,8601 ,47 ,546.4 ,O ,0.0 ,13 ,151.1 ,13 ,151.1 ,0 O 0 O 0 O 0 ,3 ,O 0 O ,O 8 ,4 ,3 7 ,3 ,6 10 ,3 
Rauco ,11248 ,65 ,577.9 ,0 ,0.0 ,18 ,160.0 ,18 ,160.0 ,0 O 0 O 1 1 0 ,1 ,0 0 1 ,1 7 ,6 ,6 15 ,3 ,10 9 ,4 
Retiro& ,21071 ,129 ,612.2 ,0 ,0.0 ,16 ,75.9 ,16 ,75.9 ,0 0 0 O 0 0 1 ,0 ,0 1 0 ,1 17 ,42 ,14 18 ,12 ,11 12 ,O 
Rio Claro ,14753 ,72 ,488.0 ,4 ,27.1 ,20 ,135.6 ,20 ,135.6 ,O O O 2 0 1 1 ,3 ,2 O 2 ,2 1 ,8 ,3 4 ,14 ,12 17 ,0 
