,,,,,,Numero,deCasos,segunFechade,Iniciode,Sintomas,,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE 15 ,SE 16 ,SE SE 17 18 ,SE 19 ,SE 20 ,SE 21 ,SE SE 22 23 
Antofagasta & ,425725 ,1550 ,364.1 ,273 ,64.1 ,271 ,63.7 ,O 1 2 28 ,31 42 ,58 ,106 ,159 213 ,299 ,299 ,238 ,74 O 
Calama ,190336 ,486 ,255.3 ,55 ,28.9 ,55 ,28.9 ,1 1 2 3 ,2 7 ,14 ,16 ,38 48 ,83 ,189 ,80 ,2 0 
Maria Elena ,6814 ,157 ,2304.1 ,11 ,161.4 ,11 ,161.4 ,1 0 0 O ,0 O ,5 ,9 ,16 42 ,42 ,29 ,11 ,2 0 
Mejillones ,14776 ,262 ,1773.1 ,13 ,88.0 ,12 ,81.2 ,O O O O ,1 8 ,15 ,18 ,30 77 ,45 ,50 ,14 ,4 O 
Ollague ,287 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O O ,O ,O ,O O ,O ,O ,O ,O O 
San Pedro de Atacama ,10434 ,8 ,76.7 ,3 ,28.8 ,3 ,28.8 ,O O O 2 ,1 1 ,O ,O ,O 0 ,O ,1 ,3 ,O 0 
Sierra Gorda ,1746 ,14 ,801.8 ,1 ,57.3 ,1 ,57.3 ,O 0 0 0 ,0 O ,O ,0 ,O 3 ,5 ,5 ,1 ,O 0 
Taltal ,13657 ,33 ,241.6 ,8 ,58.6 ,8 ,58.6 ,O 0 O O ,O 2 ,3 ,2 ,1 1 ,3 ,12 ,5 ,4 O 
Tocopilla ,28079 ,32 ,114.0 ,2 ,7.1 ,2 ,7.1 ,O O O 2 ,O 4 ,5 ,O ,1 2 ,7 ,8 ,2 ,1 0 
Total ,691854 ,2542 ,367.4 ,366 ,52.9 ,363 ,52.5 ,2 2 4 35 ,35 64 ,100 ,151 ,245 386 ,484 ,593 ,354 ,87 0 
