,,,,Casos,Acumulados,,,,,,
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Confirmados correspondientes a BAC ,% Confirmados correspondientes a BAC ,Total ,Casos Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa Letalidad 
Region de Arica y Parinacota ,252110 ,7006 ,24 ,334 ,443 ,6.0% ,7364 ,167 ,2920.9 ,66.2 ,2.3% 
Region de Tarapaca ,382773 ,10475 ,459 ,1006 ,1023 ,8.6% ,11940 ,257 ,3119.3 ,67.1 ,2.2% 
Region de Antofagasta ,691854 ,18386 ,286 ,960 ,1412 ,7.2% ,19632 ,609 ,2837.6 ,88.0 ,3.1% 
Region de Atacama ,314709 ,5929 ,36 ,22 ,1106 ,18.5% ,5987 ,80 ,1902.4 ,25.4 ,1.3% 
Region de Coquimbo ,836096 ,10449 ,139 ,1320 ,842 ,7.1% ,11908 ,243 ,1424.2 ,29.1 ,2.0% 
Region de Valparaiso ,1960170 ,23769 ,438 ,8929 ,1597 ,4.8% ,33136 ,1207 ,1690.5 ,61.6 ,3.6% 
Region Metropolitana de Santiago ,8125072 ,262223 ,15151 ,32155 ,8565 ,2.8% ,309529 ,11371 ,3809.6 ,139.9 ,3.7% 
Region de Libertador General Bernardo OHiggins ,991063 ,14036 ,48 ,2908 ,1011 ,5.9% ,16992 ,544 ,1714.5 ,54.9 ,3.2% 
Region de Maule ,1131939 ,12580 ,7 ,722 ,783 ,5.9% ,13309 ,422 ,1175.8 ,37.3 ,3.2% 
Region del Nuble ,511551 ,5161 ,3 ,1391 ,417 ,6.4% ,6555 ,128 ,1281.4 ,25.0 ,2.0% 
Region de Biobio ,1663696 ,18892 ,180 ,2731 ,1026 ,4.7% ,21803 ,390 ,1310.5 ,23.4 ,1.8% 
Region de la Araucania ,1014343 ,5485 ,2 ,64 ,428 ,7.7% ,5551 ,236 ,547.3 ,23.3 ,4.3% 
Region de LOs Rios ,405835 ,1207 ,7 ,21 ,63 ,5.1% ,1235 ,37 ,304.3 ,9.1 ,3.0% 
Region de Los Lagos ,891440 ,7082 ,54 ,457 ,1134 ,14.9% ,7593 ,148 ,851.8 ,16.6 ,1.9% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,136 ,0 ,O ,8 ,5.9% ,136 ,5 ,126.8 ,4.7 ,3.7% 
Region de Magallanes y la Antartica Chilena ,178362 ,4549 ,21 ,112 ,449 ,9.6% ,4682 ,78 ,2625.0 ,43.7 ,1.7% 
Desconocida* ,- ,- ,54 ,- ,- ,- ,54 ,2 ,- ,- ,3.7% 
Total pais ,19458310 ,407365 ,16909 ,53132 ,20307 ,4.3% ,477406 ,15924 ,2453.5 ,81.8 ,3.3% 
