Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Angol & ,56058 ,486 ,867.0 ,10 ,17.8 ,43 ,76.7 ,43 ,76.7 
Carahue ,25486 ,103 ,404.1 ,O ,0.0 ,16 ,62.8 ,16 ,62.8 
Cholchol ,12341 ,38 ,307.9 ,0 ,0.0 ,3 ,24.3 ,3 ,24.3 
Collipulli & ,26148 ,71 ,271.5 ,3 ,11.5 ,3 ,11.5 ,3 ,11.5 
Cunco ,18055 ,85 ,470.8 ,2 ,11.1 ,6 ,33.2 ,6 ,33.2 
Curacautin ,18178 ,33 ,181.5 ,1 ,5.5 ,2 ,11.0 ,2 ,11.0 
Curarrehue ,7802 ,4 ,51.3 ,1 ,12.8 ,0 ,0.0 ,0 ,0.0 
Ercilla & ,8458 ,55 ,650.3 ,1 ,11.8 ,24 ,283.8 ,23 ,271.9 
Freire ,25446 ,124 ,487.3 ,1 ,3.9 ,7 ,27.5 ,7 ,27.5 
Galvarino ,12633 ,133 ,1052.8 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Gorbea ,15148 ,39 ,257.5 ,1 ,6.6 ,1 ,6.6 ,1 ,6.6 
Lautaro ,40746 ,166 ,407.4 ,3 ,7.4 ,28 ,68.7 ,28 ,68.7 
Loncoche ,24739 ,83 ,335.5 ,1 ,4.0 ,1 ,4.0 ,1 ,4.0 
Lonquimay ,11049 ,71 ,642.6 ,2 ,18.1 ,0 ,0.0 ,0 ,0.0 
Los Sauces ,7517 ,37 ,492.2 ,0 ,0.0 ,16 ,212.9 ,16 ,212.9 
Lumaco ,10050 ,42 ,417.9 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 
Melipeuco ,6265 ,11 ,175.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Nueva Imperia ,33777 ,133 ,393.8 ,3 ,8.9 ,3 ,8.9 ,3 ,8.9 
Padre Las Casas ,82110 ,224 ,272.8 ,5 ,6.1 ,12 ,14.6 ,12 ,14.6 
Perquenco & ,7223 ,43 ,595.3 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Pitrufquen ,26096 ,100 ,383.2 ,0 ,0.0 ,3 ,11.5 ,3 ,11.5 
