,,,,,,,,Numero,deCasossegun,Fechade,Iniciode,Sintomas.,Notificacion,OToma,deMuestra,,,
,,Numero de ,Tasa ,Numero de ,Tasa de ,Numero ,Tasa de ,Numero ,Tasa de ,SE SE SE ,SE SE ,SE ,SE SE ,SE SE ,SE SE ,SE ,SE SE ,SE SE SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,Fallecidos ,Mortalidad ,de Casos Actuales ,Incidencia Actual ,de Casos Activos ,Incidencia Activos ,9 10 11 ,12 13 ,14 ,15 16 ,17 18 ,19 20 ,21 ,22 23 ,24 25 26 
Angol& ,56058 ,331 ,590.5 ,4 ,7.1 ,68 ,121.3 ,68 ,121.3 ,O 1 1 ,3 10 ,11 ,15 35 ,27 12 ,11 7 ,24 ,19 61 ,62 32 O 
Carahue ,25486 ,80 ,313.9 ,O ,0.0 ,12 ,47.1 ,12 ,47.1 ,0 0 0 ,0 3 ,10 ,9 8 ,5 1 ,0 2 ,14 ,11 5 ,5 7 0 
Cholchol ,12341 ,26 ,210.7 ,O ,0.0 ,2 ,16.2 ,2 ,16.2 ,0 O 0 ,1 2 ,0 ,O 1 ,O O ,1 0 ,1 ,12 5 ,2 1 0 
Collipulli ,26148 ,53 ,202.7 ,2 ,7.6 ,12 ,45.9 ,12 ,45.9 ,0 O 0 ,O O ,1 ,1 1 ,3 0 ,2 9 ,9 ,6 7 ,9 5 0 
Cunco ,18055 ,51 ,282.5 ,1 ,5.5 ,4 ,22.2 ,4 ,22.2 ,0 O 0 ,O 3 ,2 ,O 1 ,O O ,1 5 ,18 ,O 11 ,8 2 0 
Curacautin ,18178 ,23 ,126.5 ,0 ,0.0 ,7 ,38.5 ,7 ,38.5 ,0 0 0 ,2 O ,2 ,0 0 ,2 0 ,1 0 ,1 ,2 4 ,9 0 0 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 1 ,1 2 ,0 ,0 0 ,0 0 ,0 0 ,0 ,O 0 ,0 0 0 
Ercilla ,8458 ,20 ,236.5 ,O ,0.0 ,2 ,23.6 ,2 ,23.6 ,0 O 0 ,O O ,4 ,1 4 ,1 1 ,0 O ,4 ,1 1 ,3 0 0 
Freire& ,25446 ,108 ,424.4 ,1 ,3.9 ,9 ,35.4 ,9 ,35.4 ,0 O 0 ,2 4 ,0 ,O 2 ,0 1 ,12 11 ,28 ,17 18 ,5 8 0 
Galvarino& ,12633 ,114 ,902.4 ,0 ,0.0 ,14 ,110.8 ,14 ,110.8 ,0 0 0 ,0 1 ,1 ,O 0 ,O 1 ,O 0 ,6 ,44 44 ,13 4 0 
Gorbea& ,15148 ,40 ,264.1 ,1 ,6.6 ,5 ,33.0 ,5 ,33.0 ,0 0 1 ,4 4 ,2 ,0 1 ,0 2 ,3 O ,5 ,6 6 ,6 0 0 
Lautaro& ,40746 ,111 ,272.4 ,O ,0.0 ,10 ,24.5 ,10 ,24.5 ,1 O 0 ,6 3 ,15 ,6 6 ,2 8 ,9 5 ,11 ,21 6 ,10 2 0 
Loncoche& ,24739 ,70 ,283.0 ,0 ,0.0 ,13 ,52.5 ,13 ,52.5 ,0 O 0 ,2 3 ,2 ,4 3 ,3 3 ,3 2 ,6 ,22 4 ,10 3 0 
Lonquimay ,11049 ,72 ,651.6 ,1 ,9.1 ,3 ,27.2 ,3 ,27.2 ,0 O 0 ,O 0 ,0 ,O O ,2 13 ,13 28 ,12 ,1 O ,0 3 0 
Los Sauces ,7517 ,9 ,119.7 ,0 ,0.0 ,1 ,13.3 ,1 ,13.3 ,0 0 0 ,O O ,0 ,0 1 ,O 0 ,O O ,1 ,3 2 ,1 1 O 
Lumaco& ,10050 ,31 ,308.5 ,O ,0.0 ,7 ,69.7 ,7 ,69.7 ,0 0 0 ,O 0 ,0 ,O 4 ,2 1 ,O 1 ,3 ,2 8 ,8 2 0 
Melipeuco ,6265 ,8 ,127.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 ,0 0 ,0 0 ,0 0 ,5 ,2 1 ,0 0 0 
Nueva Imperial8 ,33777 ,109 ,322.7 ,1 ,3.0 ,24 ,71.1 ,24 ,71.1 ,0 0 0 ,4 10 ,4 ,12 7 ,3 2 ,6 5 ,2 ,3 23 ,19 9 0 
Padre Las Casas& ,82110 ,181 ,220.4 ,4 ,4.9 ,7 ,8.5 ,7 ,8.5 ,0 0 0 ,12 28 ,24 ,15 17 ,11 0 ,5 24 ,16 ,14 6 ,7 2 0 
Perquenco8 ,7223 ,23 ,318.4 ,O ,0.0 ,8 ,110.8 ,8 ,110.8 ,0 0 0 ,1 1 ,0 ,0 3 ,0 0 ,1 0 ,0 ,3 6 ,2 6 0 
