edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,11 ,1 ,"1,8 ",15 ,1 ,"2,6 ",26 ,1 ,"2,2 "
05 09 anos ,13 ,1 ,"2,0 ",16 ,1 ,"2,5 ",29 ,1 ,"2,3 "
10 14 anos ,23 ,1 ,"3,6 ",23 ,1 ,"3,7 ",46 ,1 ,"3,6 "
15 19 anos ,50 ,2 ,"7,8 ",56 ,3 ,"9,0 ",106 ,2 ,"8,4 "
20 24 anos ,138 ,6 ,"18,8 ",144 ,7 ,"20,3 ",282 ,6 ,"19,5 "
25 29 anos ,252 ,12 ,"30,1 ",281 ,13 ,"34,6 ",533 ,12 ,"32,3 "
30 34 anos ,295 ,13 ,"36,4 ",297 ,14 ,"37,8 ",592 ,14 ,"37,1 "
35 39 anos ,263 ,12 ,"36,3 ",263 ,12 ,"37,0 ",526 ,12 ,"36,6 "
40 44 anos ,234 ,11 ,"34,7 ",217 ,10 ,"32,3 ",451 ,10 ,"33,5 "
45 49 anos ,221 ,10 ,"35,0 ",204 ,9 ,"31,9 ",425 ,10 ,"33,4 "
50 54 anos ,180 ,8 ,"29,9 ",180 ,8 ,"28,9 ",360 ,8 ,"29,4 "
55 59 anos ,159 ,7 ,"28,7 ",143 ,7 ,"24,2 ",302 ,7 ,"26,4 "
60 64 anos ,115 ,5 ,"24,4 ",113 ,5 ,"21,8 ",228 ,5 ,"23,0 "
65 69 anos ,82 ,4 ,"21,6 ",67 ,3 ,"15,4 ",149 ,3 ,"18,3 "
70 74 anos ,67 ,3 ,"25,4 ",58 ,3 ,"18,2 ",125 ,3 ,"21,4 "
75 79 anos ,48 ,2 ,"27,2 ",41 ,2 ,"17,3 ",89 ,2 ,"21,5 "
80 y mas anos ,40 ,2 ,"20,4 ",37 ,2 ,"10,6 ",77 ,2 ,"14,1 "
Total ,2.191 ,,"22,8 ",2.155 ,,"21,9 ",4.346 ,,"22,3 "
