,,,,,,Numero,deCasossegun,FechadeInicio,deSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 
Andacollo ,11791 ,17 ,144.2 ,4 ,33.9 ,3 ,25.4 ,0 0 0 0 ,0 0 ,O 0 ,0 2 ,7 3 ,1 ,4 O 
Canela& ,9546 ,3 ,31.4 ,O ,0.0 ,O ,0.0 ,O O O 0 ,O O ,O O ,O 1 ,O 2 ,O ,O O 
Combarbala ,13884 ,14 ,100.8 ,3 ,21.6 ,3 ,21.6 ,0 O O O ,O O ,O O ,O 2 ,3 4 ,2 ,3 O 
Coquimbo ,256735 ,281 ,109.5 ,55 ,21.4 ,55 ,21.4 ,O O 4 13 ,3 1 ,1 4 ,7 14 ,78 75 ,40 ,40 1 
Illapel ,32801 ,31 ,94.5 ,8 ,24.4 ,8 ,24.4 ,O O O O ,4 7 ,7 O ,O 1 ,O 1 ,3 ,8 O 
La Higuera ,4450 ,2 ,44.9 ,2 ,44.9 ,2 ,44.9 ,O O 0 O ,O O ,O O ,O O ,O O ,O ,2 O 
La Serena& ,249656 ,205 ,82.1 ,44 ,17.6 ,44 ,17.6 ,O O 1 3 ,6 4 ,2 2 ,5 13 ,48 42 ,47 ,31 1 
LOs Vilos& ,23374 ,6 ,25.7 ,1 ,4.3 ,1 ,4.3 ,O O O 1 ,O O ,O O ,O O ,1 O ,3 ,1 O 
Monte Patria& ,32527 ,55 ,169.1 ,17 ,52.3 ,17 ,52.3 ,O O 0 O ,O O ,O O ,O 1 ,6 18 ,20 ,10 O 
Ovalle8 ,121269 ,171 ,141.0 ,55 ,45.4 ,55 ,45.4 ,O 0 2 2 ,4 2 ,0 1 ,1 12 ,23 42 ,43 ,39 0 
Paiguano ,4675 ,3 ,64.2 ,3 ,64.2 ,3 ,64.2 ,O O O O ,O O ,O O ,O 0 ,O 0 ,1 ,2 O 
Punitaqui ,12165 ,17 ,139.7 ,5 ,41.1 ,5 ,41.1 ,O O O 0 ,O O ,O 1 ,1 3 ,6 O ,3 ,3 O 
Rio Hurtado ,4372 ,7 ,160.1 ,4 ,91.5 ,4 ,91.5 ,O O O 1 ,O O ,O O ,O 1 ,O 0 ,2 ,3 O 
Salamanca ,29110 ,22 ,75.6 ,7 ,24.0 ,7 ,24.0 ,O O O 1 ,2 1 ,2 1 ,0 3 ,1 2 ,4 ,5 0 
Vicuna ,29741 ,17 ,57.2 ,3 ,10.1 ,3 ,10.1 ,O O O O ,0 O ,0 O ,1 2 ,5 3 ,4 ,2 O 
Total ,836096 ,851 ,101.8 ,211 ,25.2 ,210 ,25.1 ,0 0 7 21 ,19 15 ,12 9 ,15 55 ,178 192 ,173 ,153 2 
