,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 
Chepica ,15925 ,6 ,37.7 ,6 ,37.7 ,6 ,37.7 ,0 0 0 0 0 0 O 0 0 0 0 
Chimbarongo ,37696 ,6 ,15.9 ,3 ,8.0 ,3 ,8.0 ,O 0 O 1 1 O O 0 0 1 2 
Codegua ,14096 ,6 ,42.6 ,3 ,21.3 ,3 ,21.3 ,O O O 1 O O O O 1 O 1 
Coinco ,7831 ,8 ,102.2 ,5 ,63.8 ,5 ,63.8 ,0 0 0 O O 0 O 0 1 0 4 
Coltauco ,21263 ,16 ,75.2 ,7 ,32.9 ,7 ,32.9 ,0 0 0 O O 0 O O 0 O 13 
Donihue ,22700 ,20 ,88.1 ,10 ,44.1 ,10 ,44.1 ,0 0 O O O O O 1 0 4 9 
Graneros ,36504 ,32 ,87.7 ,12 ,32.9 ,12 ,32.9 ,0 0 O O O O O O 3 7 13 
La Estrella ,3114 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O O O O 0 0 O O 
Las Cabras ,26749 ,13 ,48.6 ,3 ,11.2 ,3 ,11.2 ,O 0 0 O 0 O 1 2 4 3 2 
Litueche ,6765 ,11 ,162.6 ,2 ,29.6 ,2 ,29.6 ,0 0 O O 0 0 0 1 5 2 2 
Lolol ,7289 ,3 ,41.2 ,3 ,41.2 ,3 ,41.2 ,0 0 O O O O 0 0 0 0 1 
Machali ,59913 ,29 ,48.4 ,7 ,11.7 ,7 ,11.7 ,0 O 1 4 1 O 4 O 5 3 7 
Malloa ,14163 ,2 ,14.1 ,1 ,7.1 ,1 ,7.1 ,0 0 O 0 0 0 0 0 0 0 1 
Marchihue ,7632 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O O O O O O 0 O O 
Mostazal ,27462 ,7 ,25.5 ,2 ,7.3 ,2 ,7.3 ,O 0 O O O O O O 0 2 3 
Nancagua ,19141 ,5 ,26.1 ,3 ,15.7 ,3 ,15.7 ,O 0 0 O O 0 O 0 0 1 1 
Navidad ,6904 ,10 ,144.8 ,5 ,72.4 ,5 ,72.4 ,0 0 0 O 0 0 0 0 3 0 5 
Olivar ,14624 ,16 ,109.4 ,6 ,41.0 ,6 ,41.0 ,O 0 O O 1 2 2 1 0 O 7 
Palmilla ,13299 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O O O O O 0 0 0 O 
Paredones ,6349 ,2 ,31.5 ,2 ,31.5 ,2 ,31.5 ,O O O O O O O O O 0 O 
