,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE 15 ,SE SE SE 16 17 18 
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O O ,O ,O ,0 O O 
Cabo de Hornos& ,1983 ,19 ,958.1 ,O ,0.0 ,O ,0.0 ,O O 2 ,7 7 ,1 ,2 ,O O O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O ,O 0 0 
Natales8 ,23782 ,8 ,33.6 ,O ,0.0 ,O ,0.0 ,O O 1 ,3 2 ,O ,2 ,O O 0 
Porvenir ,7323 ,8 ,109.2 ,2 ,27.3 ,2 ,27.3 ,O O O ,O 3 ,1 ,2 ,2 O 0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,1 ,O O O 
Punta Arenas& ,141984 ,623 ,438.8 ,127 ,89.4 ,126 ,88.7 ,2 1 5 ,61 121 ,145 ,143 ,119 26 O 
Rio Verde ,211 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O ,O O 0 
San Gregorio ,681 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O ,O O 0 
Timaukel ,282 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,0 ,0 O 0 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O ,0 0 0 
Total ,178362 ,659 ,,129 ,,128 ,,2 1 8 ,71 133 ,147 ,150 ,121 26 0 
