,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 
del Carmen ,5729 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O 0 O O 0 0 O O O O 0 
Caldera ,19426 ,5 ,25.7 ,3 ,15.4 ,3 ,15.4 ,0 O O O O O O O O 2 2 1 O 
Chanaral ,13164 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O 0 O O 0 0 O 0 0 0 O 
Copiapo ,171766 ,82 ,47.7 ,33 ,19.2 ,33 ,19.2 ,O O 1 0 2 1 4 O 12 26 25 11 O 
Diego de Almagro ,14358 ,3 ,20.9 ,1 ,7.0 ,1 ,7.0 ,0 O O O 1 0 O O O 1 1 O O 
Freirina ,7681 ,1 ,13.0 ,0 ,0.0 ,O ,0.0 ,O O O O O O O 1 O O O O O 
Huasco ,11264 ,1 ,8.9 ,O ,0.0 ,O ,0.0 ,0 O O O O O O 0 O 1 O O O 
Tierra Amarilla ,14312 ,23 ,160.7 ,10 ,69.9 ,10 ,69.9 ,0 O O O O 2 3 0 2 5 10 1 O 
Vallenar ,57009 ,43 ,75.4 ,13 ,22.8 ,13 ,22.8 ,0 O O O O O 1 9 10 9 12 2 O 
,314709 ,158 ,50.2 ,60 ,19.1 ,60 ,19.1 ,0 0 1 0 3 3 8 10 24 44 50 15 0 
