,,,,,,,,Numero,deCasos,segunFechadeIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
Corral ,5447 ,22 ,403.9 ,0 ,0.0 ,7 ,128.5 ,7 ,128.5 ,0 0 O O 0 0 O 1 O O 6 4 2 2 5 2 
Futrono ,15261 ,53 ,347.3 ,0 ,0.0 ,15 ,98.3 ,15 ,98.3 ,0 0 O 1 3 1 0 0 O 0 1 5 19 8 15 0 
La Union ,39538 ,66 ,166.9 ,1 ,2.5 ,15 ,37.9 ,15 ,37.9 ,0 O 1 5 8 4 6 9 4 2 1 2 2 6 9 7 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O 1 1 O O 0 O O O O O O 0 O 
Lanco ,17652 ,21 ,119.0 ,0 ,0.0 ,11 ,62.3 ,11 ,62.3 ,0 0 0 O 1 2 1 2 O 3 0 O 0 1 3 8 
Los Lagos ,20518 ,57 ,277.8 ,1 ,4.9 ,32 ,156.0 ,32 ,156.0 ,0 O O 0 0 0 O 0 O 0 0 1 12 11 13 20 
Mafil ,7389 ,17 ,230.1 ,0 ,0.0 ,11 ,148.9 ,11 ,148.9 ,0 O O 1 O 0 O 1 O 0 O 1 2 0 2 10 
Mariquina ,23250 ,16 ,68.8 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 0 3 1 4 1 0 O O 2 1 3 1 0 O 
Paillaco ,20798 ,25 ,120.2 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O 0 1 0 0 O 0 O 0 0 8 13 3 0 O 
Panguipulli ,35991 ,33 ,91.7 ,1 ,2.8 ,15 ,41.7 ,15 ,41.7 ,0 O O 0 O 0 O 0 O 1 O 4 4 8 16 O 
Rio Bueno ,32925 ,18 ,54.7 ,0 ,0.0 ,1 ,3.0 ,1 ,3.0 ,0 0 O 3 1 3 2 1 2 1 O 0 3 1 1 O 
Valdivia& ,176774 ,209 ,118.2 ,6 ,3.4 ,22 ,12.4 ,22 ,12.4 ,0 1 1 25 33 25 18 8 8 4 2 9 29 22 14 10 
Total ,405835 ,539 ,132.8 ,9 ,2.2 ,129 ,31.8 ,129 ,31.8 ,0 1 2 40 48 39 28 22 14 11 12 35 89 63 78 57 
