,,,,,,Numerode,CasossegunFecha,de,Iniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 ,SE SE SE 10 11 12 ,SE SE 13 14 ,SE SE SE SE SE SE SE SE SE 15 16 17 18 19 20 21 22 23 
Alto de Carmen ,5729 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0 0 0 ,0 O ,0 O 0 0 0 0 0 0 0 
Caldera ,19426 ,7 ,36.0 ,2 ,10.3 ,2 ,10.3 ,O ,0 0 0 ,0 O ,O O O 2 2 1 1 1 O 
Chanaral ,13164 ,1 ,7.6 ,1 ,7.6 ,1 ,7.6 ,O ,O O O ,O O ,O O O O O O 1 O O 
Copiapo ,171766 ,135 ,78.6 ,46 ,26.8 ,46 ,26.8 ,O ,0 1 O ,2 1 ,4 O 12 26 27 14 23 25 O 
Diego de Almagro ,14358 ,12 ,83.6 ,5 ,34.8 ,5 ,34.8 ,O ,O O O ,1 O ,O O O 1 1 4 3 2 0 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,0 ,0.0 ,O ,O 0 O ,O O ,O 1 O 0 O O O 0 O 
Huasco ,11264 ,1 ,8.9 ,0 ,0.0 ,0 ,0.0 ,O ,O O O ,O O ,O O O 1 O O O O O 
Tierra Amarilla ,14312 ,24 ,167.7 ,1 ,7.0 ,1 ,7.0 ,O ,O O O ,O 2 ,3 O 2 5 10 1 O 1 O 
Vallenar ,57009 ,56 ,98.2 ,10 ,17.5 ,10 ,17.5 ,O ,O 0 0 ,0 O ,1 9 11 9 13 2 5 6 0 
Total ,314709 ,237 ,75.3 ,65 ,20.7 ,65 ,20.7 ,0 ,0 1 0 ,3 3 ,8 10 25 44 53 22 33 35 0 
