,,,,,,Numero,deCasossegun,Fechade,Iniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE 12 ,SE SE 13 14 ,SE 15 ,SE SE SE 16 17 18 ,SE 19 ,SE SE SE 20 21 22 
Alto Biobio ,6775 ,45 ,664.2 ,41 ,605.2 ,41 ,605.2 ,0 O 0 ,0 ,0 0 ,0 ,0 0 0 ,0 ,5 27 13 
Antuco ,4306 ,14 ,325.1 ,11 ,255.5 ,11 ,255.5 ,0 0 0 ,0 ,O 0 ,0 ,0 0 0 ,2 ,2 1 9 
Arauco ,38679 ,44 ,113.8 ,23 ,59.5 ,23 ,59.5 ,O O 1 ,2 ,2 1 ,O ,O O 5 ,4 ,13 14 2 
Cabrero ,30725 ,27 ,87.9 ,3 ,9.8 ,3 ,9.8 ,O O 0 ,1 ,O 4 ,3 ,7 1 3 ,4 ,2 2 O 
Canete ,37003 ,11 ,29.7 ,10 ,27.0 ,10 ,27.0 ,O O 0 ,0 ,O O ,O ,0 0 0 ,O ,1 9 1 
Chiguayante ,91180 ,97 ,106.4 ,12 ,13.2 ,12 ,13.2 ,O O 5 ,5 ,9 16 ,11 ,10 11 8 ,6 ,7 5 4 
Concepcion ,238092 ,284 ,119.3 ,96 ,40.3 ,95 ,39.9 ,1 1 6 ,28 ,28 22 ,21 ,18 14 19 ,18 ,18 73 17 
Contulmo ,6330 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 ,0 ,O O ,O ,0 O 0 ,O ,O O O 
Coronel ,125829 ,111 ,88.2 ,62 ,49.3 ,62 ,49.3 ,O O 1 ,6 ,6 4 ,1 ,O 5 2 ,14 ,14 37 21 
Curanilahue ,33892 ,6 ,17.7 ,1 ,3.0 ,1 ,3.0 ,O O 0 ,1 ,O 0 ,O ,0 0 1 ,3 ,O 1 O 
Florida ,11841 ,5 ,42.2 ,1 ,8.4 ,1 ,8.4 ,0 0 0 ,0 ,2 1 ,O ,0 0 0 ,1 ,0 1 O 
Hualpen ,97273 ,152 ,156.3 ,16 ,16.4 ,16 ,16.4 ,O O 3 ,24 ,33 27 ,17 ,8 2 5 ,11 ,9 11 2 
Hualqui ,26201 ,42 ,160.3 ,18 ,68.7 ,18 ,68.7 ,O O 1 ,1 ,2 3 ,4 ,9 0 0 ,2 ,4 11 5 
Laja ,23873 ,59 ,247.1 ,15 ,62.8 ,15 ,62.8 ,0 1 1 ,0 ,3 1 ,1 ,1 5 1 ,17 ,20 7 1 
Lebu ,27100 ,2 ,7.4 ,0 ,0.0 ,0 ,0.0 ,0 O 0 ,0 ,0 0 ,O ,0 0 1 ,1 ,O 0 O 
Los Alamos ,22524 ,2 ,8.9 ,1 ,4.4 ,1 ,4.4 ,O O 0 ,O ,O O ,1 ,O O O ,O ,1 O O 
Los Angeles ,218515 ,208 ,95.2 ,92 ,42.1 ,92 ,42.1 ,O O 4 ,7 ,9 6 ,5 ,3 O 3 ,31 ,59 69 12 
Lota ,45750 ,44 ,96.2 ,20 ,43.7 ,20 ,43.7 ,O O 0 ,1 ,O 0 ,0 ,0 0 1 ,16 ,9 13 4 
Mulchen ,31041 ,14 ,45.1 ,3 ,9.7 ,3 ,9.7 ,O O 0 ,1 ,4 0 ,O ,0 0 2 ,3 ,1 1 2 
Nacimiento ,27944 ,35 ,125.3 ,11 ,39.4 ,11 ,39.4 ,O O 0 ,2 ,3 3 ,2 ,0 1 3 ,8 ,4 7 2 
Negrete ,10429 ,30 ,287.7 ,14 ,134.2 ,14 ,134.2 ,0 O 0 ,0 ,O 2 ,0 ,0 0 0 ,7 ,12 8 1 
