Comuna,Poblacion,Confirmados,Tasadeincidencia
Pirque ,30433 ,- ,"6,6 "
Providencia ,157749 ,94 ,"59,6 "
Pudahuel ,253139 ,32 ,"12,6 "
Puente Alto ,645909 ,76 ,"11,8 "
Quilicura ,254694 ,33 ,"13,0 "
Quinta Normal ,136368 ,35 ,"25,7 "
Recoleta ,190075 ,32 ,"16,8 "
Renca ,160847 ,18 ,"11,2 "
San Bernardo ,334836 ,53 ,"15,8 "
San Joaquin ,103485 ,28 ,"27,1 "
San Jose de Maipo ,18644 ,- ,"10,7 "
San Miguel ,133059 ,39 ,"29,3 "
San Pedro ,11953 ,- ,"0,0 "
San Ramon ,86510 ,9 ,"10,4 "
Santiago ,503147 ,173 ,"34,4 "
Talagante ,81838 ,6 ,"7,3 "
Tiltil ,21477 ,- ,"14,0 "
Vitacura ,96774 ,100 ,"103,3 "
Total ,8125072 ,1742 ,"21,4 "
