,,,,,,,NumerodeCasos,segunFechade,Iniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 ,SE SE 18 19 ,SE 20 ,SE 21 ,SE SE 22 23 
Algarrobo ,15174 ,48 ,316.3 ,6 ,39.5 ,6 ,39.5 ,O O 1 4 ,4 ,0 0 ,0 2 ,4 6 ,13 ,10 ,4 O 
Cabildo ,20663 ,24 ,116.1 ,5 ,24.2 ,5 ,24.2 ,0 O O O ,O ,O O ,0 5 ,3 2 ,5 ,4 ,5 O 
Calera8 ,53591 ,82 ,153.0 ,19 ,35.5 ,19 ,35.5 ,0 O 0 1 ,6 ,2 4 ,7 2 ,2 7 ,17 ,20 ,12 2 
Calle Larga& ,16482 ,61 ,370.1 ,18 ,109.2 ,18 ,109.2 ,1 O O O ,O ,2 3 ,1 O ,4 3 ,8 ,26 ,12 1 
Cartagena ,25357 ,54 ,213.0 ,11 ,43.4 ,11 ,43.4 ,0 0 O O ,O ,2 O ,3 5 ,5 12 ,7 ,15 ,5 O 
Casablanca& ,29170 ,35 ,120.0 ,8 ,27.4 ,8 ,27.4 ,O O O 2 ,0 ,1 1 ,0 0 ,O 9 ,8 ,7 ,5 2 
Catemu ,15213 ,17 ,111.7 ,8 ,52.6 ,8 ,52.6 ,O O O O ,O ,O O ,O O ,1 1 ,6 ,1 ,8 O 
Con Con ,45889 ,72 ,156.9 ,12 ,26.2 ,12 ,26.2 ,O O O 2 ,6 ,1 1 ,O 9 ,6 9 ,15 ,15 ,8 O 
EI Quisco ,17742 ,66 ,372.0 ,18 ,101.5 ,18 ,101.5 ,O O 0 1 ,O ,4 2 ,4 0 ,5 9 ,13 ,13 ,15 O 
EI Tabo ,14338 ,61 ,425.4 ,20 ,139.5 ,20 ,139.5 ,0 0 0 0 ,5 ,0 2 ,3 3 ,4 7 ,6 ,14 ,15 2 
Hijuelas ,19099 ,29 ,151.8 ,13 ,68.1 ,13 ,68.1 ,O O O O ,O ,O 1 ,O O ,O 0 ,7 ,10 ,11 O 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,O ,0.0 ,O O 0 2 ,1 ,2 0 ,O O ,O 0 ,O ,O ,O O 
Juan Fernandez ,1033 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O O ,O ,O O ,O O ,O 0 ,0 ,O ,O O 
La Cruz ,25321 ,33 ,130.3 ,5 ,19.7 ,5 ,19.7 ,0 1 0 1 ,2 ,3 1 ,0 1 ,7 6 ,3 ,3 ,5 O 
La Ligua ,37739 ,28 ,74.2 ,11 ,29.1 ,11 ,29.1 ,O O O 1 ,O ,1 O ,O O ,1 O ,8 ,7 ,10 O 
Limache8 ,49931 ,125 ,250.3 ,29 ,58.1 ,29 ,58.1 ,O O O 2 ,O ,5 9 ,6 1 ,7 23 ,31 ,20 ,19 2 
Llaillay ,26533 ,67 ,252.5 ,14 ,52.8 ,14 ,52.8 ,0 0 0 1 ,1 ,0 0 ,0 1 ,2 5 ,27 ,19 ,8 3 
Los Andes& ,68093 ,194 ,284.9 ,55 ,80.8 ,55 ,80.8 ,0 O O 2 ,2 ,0 3 ,O 2 ,7 19 ,52 ,71 ,36 O 
Nogales ,23490 ,21 ,89.4 ,8 ,34.1 ,8 ,34.1 ,O O 0 0 ,O ,O 0 ,O O ,2 4 ,6 ,5 ,4 O 
Olmue& ,19266 ,24 ,124.6 ,4 ,20.8 ,4 ,20.8 ,0 O O 0 ,O ,1 1 ,0 O ,0 3 ,5 ,11 ,3 O 
