,,,,,,,,,Numerode,CasossegunFechade,IniciodeSintomas.,NotificacionoToma,deMuestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE SE SE 16 17 18 19 ,SE SE 20 21 ,SE SE 22 23 ,SE SE 24 25 ,SE 26 ,SE SE 27 28 
Alto Biobio ,6775 ,162 ,2391.1 ,0 ,0.0 ,11 ,162.4 ,11 ,162.4 ,0 0 0 0 ,0 0 0 ,0 0 0 0 ,7 43 ,51 27 ,11 10 ,2 ,10 1 
Antuco& ,4306 ,47 ,1091.5 ,0 ,0.0 ,6 ,139.3 ,6 ,139.3 ,0 O 0 O ,0 O 0 ,O 0 O 2 ,2 1 ,13 2 ,5 13 ,4 ,5 0 
Arauco8 ,38679 ,286 ,739.4 ,1 ,2.6 ,52 ,134.4 ,52 ,134.4 ,0 0 1 2 ,2 1 0 ,0 0 5 4 ,14 17 ,24 22 ,33 65 ,62 ,31 3 
Cabrero& ,30725 ,125 ,406.8 ,0 ,0.0 ,12 ,39.1 ,12 ,39.1 ,0 0 0 1 ,0 4 3 ,7 1 3 4 ,2 3 ,3 8 ,24 35 ,16 ,8 3 
Canete ,37003 ,36 ,97.3 ,0 ,0.0 ,3 ,8.1 ,3 ,8.1 ,0 0 O 0 ,0 0 0 ,0 O 0 O ,1 9 ,4 7 ,1 7 ,4 ,3 0 
Chiguayante& ,91180 ,399 ,437.6 ,9 ,9.9 ,77 ,84.4 ,77 ,84.4 ,O 0 5 5 ,9 16 12 ,10 12 8 7 ,9 9 ,27 40 ,60 52 ,50 ,52 16 
Concepcion& ,238092 ,1360 ,571.2 ,23 ,9.7 ,195 ,81.9 ,195 ,81.9 ,1 1 7 28 ,30 23 22 ,18 14 19 19 ,21 93 ,99 133 ,252 259 ,171 ,111 39 
Contulmo ,6330 ,43 ,679.3 ,0 ,0.0 ,6 ,94.8 ,6 ,94.8 ,0 0 O 0 ,0 0 0 ,0 0 0 0 ,0 1 ,1 0 ,0 11 ,27 ,3 0 
Coronel& ,125829 ,1056 ,839.2 ,4 ,3.2 ,203 ,161.3 ,203 ,161.3 ,0 O 1 6 ,7 4 1 ,O 5 2 14 ,16 50 ,130 111 ,150 226 ,170 ,139 24 
Curanilahue8 ,33892 ,98 ,289.2 ,1 ,3.0 ,41 ,121.0 ,41 ,121.0 ,0 0 0 1 ,0 O 0 ,0 O 1 3 ,O 2 ,4 11 ,10 17 ,14 ,23 12 
Florida ,11841 ,36 ,304.0 ,2 ,16.9 ,6 ,50.7 ,6 ,50.7 ,0 0 O 0 ,2 1 0 ,0 0 0 2 ,O 2 ,0 O ,7 7 ,11 ,2 2 
Hualpen& ,97273 ,555 ,570.6 ,3 ,3.1 ,99 ,101.8 ,99 ,101.8 ,0 1 3 23 ,33 27 17 ,8 2 6 11 ,9 17 ,30 26 ,70 85 ,106 ,63 18 
Hualqui ,26201 ,161 ,614.5 ,3 ,11.4 ,23 ,87.8 ,23 ,87.8 ,0 O 1 1 ,2 3 4 ,9 O 1 2 ,5 12 ,7 13 ,17 38 ,30 ,15 1 
Laja ,23873 ,139 ,582.2 ,0 ,0.0 ,27 ,113.1 ,27 ,113.1 ,O 1 1 0 ,3 1 1 ,1 5 1 17 ,20 8 ,7 6 ,10 15 ,20 ,18 4 
Lebu ,27100 ,32 ,118.1 ,0 ,0.0 ,4 ,14.8 ,4 ,14.8 ,0 0 0 0 ,O 0 0 ,0 0 1 1 ,0 O ,6 6 ,5 8 ,3 ,0 2 
Los Alamos ,22524 ,94 ,417.3 ,0 ,0.0 ,24 ,106.6 ,24 ,106.6 ,0 0 O 0 ,0 O 1 ,0 0 1 0 ,1 O ,3 4 ,4 38 ,27 ,9 6 
Los Angeles& ,218515 ,885 ,405.0 ,4 ,1.8 ,150 ,68.6 ,150 ,68.6 ,0 O 3 6 ,9 6 5 ,4 0 4 32 ,64 89 ,78 87 ,87 136 ,160 ,95 20 
Lota& ,45750 ,320 ,699.5 ,2 ,4.4 ,84 ,183.6 ,84 ,183.6 ,0 0 0 1 ,0 1 0 ,0 0 1 16 ,10 15 ,21 23 ,43 67 ,63 ,50 9 
Mulchen ,31041 ,94 ,302.8 ,0 ,0.0 ,36 ,116.0 ,36 ,116.0 ,0 0 O 1 ,4 0 0 ,O 0 2 3 ,1 1 ,11 3 ,3 12 ,27 ,19 7 
Nacimiento ,27944 ,150 ,536.8 ,3 ,10.7 ,33 ,118.1 ,33 ,118.1 ,0 0 0 2 ,3 3 2 ,O 1 3 8 ,4 8 ,7 6 ,20 30 ,28 ,17 8 
