,SinHospitalizacion,,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,39868 ,11.8 ,8324 ,32.8 
Diabetes ,19624 ,5.8 ,5177 ,20.4 
Obesidad ,10305 ,3.1 ,1802 ,7.1 
Asma ,9560 ,2.8 ,830 ,3.3 
Enfermedad cardiovascular ,2515 ,0.7 ,1105 ,4.4 
Enfermedad pulmonar cronica ,2309 ,0.7 ,1075 ,4.2 
Cardiopatia cronica ,2007 ,0.6 ,1106 ,4.4 
Enfermedad renal cronica ,1802 ,0.5 ,1138 ,4.5 
Enfermedad neurologica cronica ,1258 ,0.4 ,744 ,2.9 
nmunocomprometido ,1636 ,0.5 ,709 ,2.8 
Enfermedad hepatica cronica ,303 ,0.1 ,299 ,1.2 
