,,,,,,,,NumerodeCasos,segunFecha,deIniciodeSintomas.NotificacionoTomadeMuestra,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ,SE SE 24 25 
Alto del Carmen ,5729 ,6 ,104.7 ,0 ,0.0 ,1 ,17.5 ,1 ,17.5 ,0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 ,1 1 
Caldera ,19426 ,26 ,133.8 ,0 ,0.0 ,8 ,41.2 ,8 ,41.2 ,0 0 0 0 0 0 0 0 0 2 2 1 1 3 2 ,7 6 
Chanaral ,13164 ,22 ,167.1 ,0 ,0.0 ,12 ,91.2 ,12 ,91.2 ,0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 ,7 10 
Copiapo8 ,171766 ,603 ,351.1 ,1 ,0.6 ,196 ,114.1 ,196 ,114.1 ,0 O 1 0 2 1 4 0 12 28 27 14 25 57 113 ,123 136 
Diego de Almagro ,14358 ,36 ,250.7 ,1 ,7.0 ,7 ,48.8 ,7 ,48.8 ,1 0 0 0 1 0 0 0 0 1 1 4 3 6 4 ,8 5 
Freirina ,7681 ,16 ,208.3 ,O ,0.0 ,12 ,156.2 ,12 ,156.2 ,0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 ,1 9 
Huasco ,11264 ,17 ,150.9 ,0 ,0.0 ,5 ,44.4 ,5 ,44.4 ,0 O 0 0 O 0 0 0 0 1 0 0 0 2 6 ,3 4 
Tierra Amarilla ,14312 ,67 ,468.1 ,0 ,0.0 ,17 ,118.8 ,17 ,118.8 ,0 0 0 0 O 2 3 0 2 5 10 2 0 1 10 ,15 14 
Vallenar ,57009 ,228 ,399.9 ,O ,0.0 ,80 ,140.3 ,80 ,140.3 ,O 0 0 0 O 0 1 9 12 9 13 2 6 15 27 ,54 67 
Desconocido& ,- ,9 ,- ,O ,- ,9 ,- ,9 ,-- ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 O ,O 9 
Total ,314709 ,1030 ,327.3 ,2 ,0.6 ,347 ,110.3 ,347 ,110.3 ,1 0 1 0 3 3 8 10 26 46 53 23 36 85 169 ,219 261 
