,,,Numero,de,Casos,,segun,Fecha,de,,Inicio,de,Sintomas.,,,Notificacion,,o,Toma,de,Muestra
Comuna ,SE 9 ,SE 10 ,SE 11 ,SE 12 ,SE 13 ,SE 14 ,SE 15 ,SE 16 ,SE 17 ,SE 18 ,SE 19 ,SE 20 ,SE 21 ,SE 22 ,SE 23 ,SE 24 ,SE 25 ,SE 26 ,SE 27 ,SE 28 ,SE SE SE 29 30 31 
Aisen ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,O ,O ,O ,1 ,2 ,O ,2 ,5 ,3 ,3 ,11 ,9 5 2 
Chile Chico ,O ,O ,O ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Cisnes ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Cochrane ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Coyhaique ,O ,O ,1 ,O ,O ,1 ,O ,O ,O ,O ,1 ,O ,4 ,3 ,3 ,2 ,4 ,9 ,O ,2 ,O 1 1 
Guaitecas ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Lago Verde ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
O'Higgins ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Rio Ibanez ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Tortel ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Desconocido ,O ,O ,1 ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O ,O O O 
Total ,O ,O ,3 ,O ,O ,2 ,O ,O ,O ,O ,1 ,0 ,5 ,5 ,3 ,4 ,9 ,12 ,3 ,13 ,9 6 3 
