,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE 17 18 ,SE SE SE 19 20 21 
Algarrobo ,15174 ,23 ,151.6 ,9 ,59.3 ,9 ,59.3 ,0 0 1 4 ,4 0 0 O ,2 3 ,5 4 0 
Cabildo& ,20663 ,9 ,43.6 ,1 ,4.8 ,1 ,4.8 ,O O O O ,O O O O ,5 3 ,1 0 O 
Calera ,53591 ,31 ,57.8 ,6 ,11.2 ,6 ,11.2 ,0 0 O 1 ,6 2 4 7 ,2 1 ,6 2 O 
Calle Larga ,16482 ,12 ,72.8 ,2 ,12.1 ,2 ,12.1 ,0 O O O ,0 2 3 1 ,0 3 ,2 1 O 
Cartagena ,25357 ,23 ,90.7 ,5 ,19.7 ,5 ,19.7 ,O 0 O O ,O 2 O 3 ,5 5 ,8 O O 
Casablanca ,29170 ,13 ,44.6 ,9 ,30.9 ,9 ,30.9 ,O O O 1 ,O 1 1 O ,O O ,8 2 O 
Catemu ,15213 ,4 ,26.3 ,3 ,19.7 ,3 ,19.7 ,0 0 O O ,0 O O O ,O 1 ,2 1 O 
Con Con ,45889 ,37 ,80.6 ,11 ,24.0 ,11 ,24.0 ,0 0 0 2 ,6 1 1 0 ,9 6 ,6 6 O 
EI Quisco ,17742 ,26 ,146.5 ,9 ,50.7 ,9 ,50.7 ,0 0 O 1 ,O 4 2 4 ,0 5 ,10 0 O 
EI Tabo8 ,14338 ,24 ,167.4 ,7 ,48.8 ,7 ,48.8 ,O O O O ,5 O 2 3 ,3 4 ,6 1 O 
Hijuelas ,19099 ,3 ,15.7 ,2 ,10.5 ,2 ,10.5 ,0 0 0 O ,O 0 1 0 ,0 O ,1 1 0 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,0 0 O 2 ,1 2 O O ,0 O ,0 O 0 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 ,O O O 0 ,0 O ,0 0 0 
La Cruz ,25321 ,22 ,86.9 ,6 ,23.7 ,6 ,23.7 ,0 1 O 1 ,2 3 1 O ,1 6 ,6 1 O 
La Ligua ,37739 ,4 ,10.6 ,1 ,2.6 ,1 ,2.6 ,0 0 0 1 ,O 1 0 0 ,0 1 ,0 1 0 
Limache ,49931 ,54 ,108.1 ,23 ,46.1 ,21 ,42.1 ,0 0 0 2 ,0 5 9 6 ,1 7 ,19 5 O 
Llaillay ,26533 ,14 ,52.8 ,9 ,33.9 ,9 ,33.9 ,0 0 O 1 ,1 O O O ,1 2 ,3 6 O 
Los Andes ,68093 ,35 ,51.4 ,18 ,26.4 ,18 ,26.4 ,0 0 0 2 ,2 0 3 0 ,2 6 ,15 5 0 
Nogales& ,23490 ,5 ,21.3 ,3 ,12.8 ,3 ,12.8 ,0 O O O ,O 0 O O ,O 2 ,2 1 O 
Olmue ,19266 ,3 ,15.6 ,1 ,5.2 ,1 ,5.2 ,0 0 O O ,0 2 O O ,0 O ,1 0 O 
