Comuna,,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,& ,42458 ,106 ,249.7 ,2 ,4.7 ,6 ,14.1 ,6 ,14.1 
Calbuco ,,36744 ,152 ,413.7 ,1 ,2.7 ,45 ,122.5 ,45 ,122.5 
Castro ,,47607 ,9 ,18.9 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
Chaiten ,& ,5020 ,11 ,219.1 ,O ,0.0 ,9 ,179.3 ,9 ,179.3 
Chonchi ,,16013 ,1 ,6.2 ,O ,0.0 ,0 ,0.0 ,O ,0.0 
Cochamo ,& ,4006 ,9 ,224.7 ,O ,0.0 ,1 ,25.0 ,1 ,25.0 
Curaco de Velez ,,4066 ,18 ,442.7 ,O ,0.0 ,2 ,49.2 ,2 ,49.2 
Dalcahue ,,15069 ,7 ,46.5 ,1 ,6.6 ,0 ,0.0 ,0 ,0.0 
Fresia ,,12656 ,24 ,189.6 ,2 ,15.8 ,3 ,23.7 ,3 ,23.7 
Frutillar ,,20223 ,140 ,692.3 ,O ,0.0 ,10 ,49.4 ,10 ,49.4 
Futaleufu ,,2806 ,1 ,35.6 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Hualaihue ,,9525 ,13 ,136.5 ,1 ,10.5 ,1 ,10.5 ,1 ,10.5 
Llanquihue ,,18621 ,71 ,381.3 ,1 ,5.4 ,6 ,32.2 ,6 ,32.2 
Los Muermos ,,17817 ,41 ,230.1 ,O ,0.0 ,4 ,22.5 ,4 ,22.5 
Maullin ,,14894 ,51 ,342.4 ,O ,0.0 ,16 ,107.4 ,16 ,107.4 
Osorno ,& ,173410 ,603 ,347.7 ,12 ,6.9 ,54 ,31.1 ,54 ,31.1 
Palena ,,1827 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Puerto Montt ,& ,269398 ,1248 ,463.3 ,7 ,2.6 ,350 ,129.9 ,350 ,129.9 
Puerto Octay ,,9192 ,9 ,97.9 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Puerto Varas ,,48620 ,112 ,230.4 ,1 ,2.1 ,15 ,30.9 ,15 ,30.9 
Puqueldon ,,4201 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
