,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,4133 ,1.9 ,681.4 ,3794 ,1.9 ,649.8 ,7927 ,1.9 ,665.9 
05 09 anos ,3400 ,1.6 ,520.8 ,3255 ,1.6 ,517.1 ,6655 ,1.6 ,519.0 
10 14 anos ,3884 ,1.8 ,603.2 ,4008 ,2 ,645.0 ,7892 ,1.9 ,623.7 
15 19 anos ,6537 ,3.1 ,1020.4 ,7467 ,3.7 ,1205.5 ,14004 ,3.4 ,1111.4 
20 24 anos ,16683 ,7.8 ,2276.0 ,16692 ,8.3 ,2350.4 ,33375 ,8 ,2312.6 
25 29 anos ,26192 ,12.3 ,3127.9 ,25739 ,12.7 ,3170.6 ,51931 ,12.5 ,3149.0 
30 34 anos ,26762 ,12.5 ,3303.0 ,23985 ,11.9 ,3051.6 ,50747 ,12.2 ,3179.2 
35 39 anos ,21985 ,10.3 ,3030.9 ,19115 ,9.5 ,2692.7 ,41100 ,9.9 ,2863.6 
40 44 anos ,18531 ,8.7 ,2744.2 ,16256 ,8.1 ,2420.1 ,34787 ,8.4 ,2582.5 
45 49 anos ,18166 ,8.5 ,2878.2 ,16941 ,8.4 ,2645.5 ,35107 ,8.5 ,2761.0 
50 54 anos ,17255 ,8.1 ,2870.9 ,16116 ,8 ,2585.2 ,33371 ,8 ,2725.4 
55 59 anos ,16235 ,7.6 ,2926.0 ,14670 ,7.3 ,2483.9 ,30905 ,7.4 ,2698.0 
60 64 anos ,12163 ,5.7 ,2582.2 ,10466 ,5.2 ,2019.1 ,22629 ,5.4 ,2287.2 
65 69 anos ,7712 ,3.6 ,2035.3 ,6964 ,3.4 ,1598.4 ,14676 ,3.5 ,1801.6 
70 74 anos ,5504 ,2.6 ,2084.3 ,5264 ,2.6 ,1648.5 ,10768 ,2.6 ,1845.8 
75 79 anos ,3760 ,1.8 ,2131.6 ,4061 ,2 ,1710.7 ,7821 ,1.9 ,1890.1 
80 y mas anos ,4548 ,2.1 ,2314.3 ,7122 ,3.5 ,2033.0 ,11670 ,2.8 ,2134.1 
Total ,213450 ,100 ,2223.6 ,201915 ,100 ,2048.0 ,415365 ,100 ,2134.6 
