,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE SE 16 17 18 
Aisen ,25002 ,4 ,16.0 ,2 ,8.0 ,2 ,8.0 ,0 O 1 0 ,0 0 0 ,0 0 0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,0 ,0.0 ,0 O O O ,O 1 O ,O O 0 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O O O ,O O O 
Cochrane ,3685 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O O ,O O O ,O O 0 
Coyhaique ,61210 ,10 ,16.3 ,4 ,6.5 ,4 ,6.5 ,0 O 1 O ,O 1 O ,O O 0 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O O O ,O O O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O O O ,O O O 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O O O ,O O O 
Rio lbanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O ,O O O ,O O 0 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O O ,O O O ,O O O 
Total ,107297 ,15 ,14.0 ,6 ,5.6 ,6 ,5.6 ,0 0 2 0 ,0 2 0 ,0 0 0 
