,,,,,,Numerode,CasossegunFechade,IniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE SE 16 17 ,SE SE SE SE SE 18 19 20 21 22 
Andacollo ,11791 ,4 ,33.9 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O O ,O O ,0 0 ,2 2 0 O 0 
Canela ,9546 ,2 ,21.0 ,1 ,10.5 ,1 ,10.5 ,O O O O O ,O 0 ,O O ,1 0 1 O 0 
Combarbala ,13884 ,7 ,50.4 ,3 ,21.6 ,3 ,21.6 ,O O O O O ,O O ,O O ,2 2 3 O O 
Coquimbo ,256735 ,74 ,28.8 ,9 ,3.5 ,9 ,3.5 ,O O 4 13 3 ,1 1 ,3 5 ,10 23 8 3 O 
Illapel ,32801 ,19 ,57.9 ,0 ,0.0 ,0 ,0.0 ,0 O 0 O 4 ,7 7 ,O 0 ,1 0 O 0 O 
La Higuera ,4450 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 O 0 O ,O O ,O 0 ,O 0 O 0 O 
La Serena& ,249656 ,117 ,46.9 ,36 ,14.4 ,35 ,14.0 ,O O 1 3 6 ,4 2 ,2 4 ,13 43 29 10 O 
Los Vilos ,23374 ,1 ,4.3 ,0 ,0.0 ,0 ,0.0 ,O O O 1 O ,O O ,0 O ,0 O O 0 O 
Monte Patria ,32527 ,20 ,61.5 ,13 ,40.0 ,13 ,40.0 ,O O O O 0 ,O 0 ,O O ,1 5 13 1 O 
Ovalle8 ,121269 ,70 ,57.7 ,23 ,19.0 ,23 ,19.0 ,O O 2 2 4 ,1 O ,1 1 ,12 19 28 0 O 
Paiguano ,4675 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O 0 O ,O O ,0 0 ,0 O O 0 O 
Punitaqui ,12165 ,11 ,90.4 ,0 ,0.0 ,O ,0.0 ,O O O O O ,O O ,1 1 ,3 6 O O O 
Rio Hurtado ,4372 ,2 ,45.7 ,O ,0.0 ,O ,0.0 ,O O O 1 O ,O 0 ,O O ,1 O O O O 
Salamanca& ,29110 ,12 ,41.2 ,1 ,3.4 ,1 ,3.4 ,O O O 1 2 ,1 2 ,1 O ,3 1 1 0 O 
Vicuna ,29741 ,12 ,40.3 ,4 ,13.4 ,4 ,13.4 ,O O 0 O O ,O O ,O 1 ,2 5 3 1 O 
Total ,836096 ,351 ,42.0 ,90 ,10.8 ,89 ,10.6 ,0 0 7 21 19 ,14 12 ,8 12 ,51 106 86 15 0 
