,,,NumerodeCasos,segunFechade,Iniciode,Sintomas.,Notificacion,OToma,deMuestra,
,Residencia ,SE SE SE SE SE ,SE SE SE SE SE ,SE SE SE ,SE ,SE ,SE ,SE SE ,SE SE SE SE SE SE ,SE SE 
Region de Notificacion O Toma de Muestra ,Desconocida ,9 10 11 12 13 ,14 15 16 17 18 ,19 20 21 ,22 ,23 ,24 ,25 26 ,27 28 29 30 31 32 ,33 34 
Region de Arica y Parinacota ,19 ,O O O O O ,O 1 O O O ,O O O ,O ,O ,O ,O O ,O O 2 3 3 10 ,O O 
Region de Tarapaca ,420 ,0 0 0 0 0 ,0 1 0 1 5 ,95 29 25 ,25 ,31 ,26 ,20 22 ,16 20 33 35 14 18 ,4 0 
Region de Antofagasta ,250 ,O 0 0 0 0 ,0 O 1 5 O ,1 1 O ,O ,5 ,10 ,41 30 ,28 25 24 21 27 25 ,6 O 
Region de Atacama ,19 ,0 O O O O ,0 O O O O ,O O 0 ,0 ,O ,O ,9 1 ,2 1 3 2 0 O ,1 O 
Region de Coquimbo ,140 ,O O O 1 0 ,3 1 1 1 O ,1 3 10 ,8 ,9 ,17 ,11 16 ,10 18 12 1 8 7 ,2 0 
Region de Valparaiso ,382 ,O 0 O 2 3 ,3 1 1 O O ,11 8 6 ,37 ,27 ,37 ,57 46 ,51 25 23 15 12 12 ,5 O 
Region Metropolitana de Santiago ,16083 ,0 O 6 10 19 ,54 177 363 569 719 ,1424 2197 2435 ,1698 ,1370 ,1374 ,1435 870 ,486 308 173 115 133 84 ,64 O 
Region del Libertador General Bernardo OHiggins ,86 ,0 0 O 0 0 ,0 2 0 0 O ,1 2 12 ,0 ,8 ,4 ,11 12 ,4 18 3 6 2 1 ,0 O 
Region del Maule ,42 ,O 0 O 1 0 ,0 O 0 1 O ,0 1 0 ,2 ,3 ,7 ,10 5 ,O 2 3 5 0 1 ,1 O 
Region del Nuble ,1 ,O O O O O ,O O 0 O O ,O O O ,0 ,O ,O ,O O ,O 1 O O 0 0 ,O O 
Region del Biobio ,183 ,0 0 0 1 0 ,0 O O O O ,2 4 6 ,6 ,9 ,7 ,27 38 ,7 11 11 12 14 19 ,9 O 
Region de la Araucania ,1 ,0 O 0 O 1 ,O O O O O ,O O O ,O ,0 ,O ,O 0 ,O O O O O O ,O 0 
Region de Los Rios ,7 ,0 O 1 O 0 ,0 1 1 O O ,O O O ,1 ,0 ,1 ,1 O ,O O O O O 1 ,O O 
Region de Los Lagos ,78 ,O O 9 10 3 ,1 O 1 3 O ,1 1 2 ,3 ,1 ,1 ,3 3 ,4 12 4 3 3 2 ,8 O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O O 1 0 0 ,0 O O 0 0 ,0 O O ,O ,O ,O ,0 O ,O O 0 0 0 O ,O 0 
Region de Magallanes y la Antartica Chilena ,71 ,O O O 1 0 ,1 42 14 4 2 ,1 O O ,O ,O ,1 ,1 1 ,1 O O 1 1 O ,O O 
Desconocido ,64 ,O O O 1 9 ,1 1 1 2 3 ,13 0 6 ,3 ,21 ,0 ,0 O ,O 0 0 0 0 1 ,1 O 
Total pais ,17847 ,0 0 17 27 35 ,63 227 383 586 729 ,1550 2246 2502 ,1783 ,1484 ,1485 ,1626 1044 ,609 441 291 219 217 181 ,101 0 
