,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3240 ,1.8 ,534.2 ,2990 ,1.8 ,512.1 ,6230 ,1.8 ,523.4 
05 09 anos ,2604 ,1.5 ,398.9 ,2450 ,1.5 ,389.2 ,5054 ,1.5 ,394.1 
10 14 anos ,2979 ,1.7 ,462.7 ,3090 ,1.8 ,497.2 ,6069 ,1.8 ,479.7 
15 19 anos ,5219 ,2.9 ,814.7 ,5947 ,3.5 ,960.1 ,11166 ,3.2 ,886.1 
20 24 anos ,13911 ,7.8 ,1897.8 ,13840 ,8.3 ,1948.8 ,27751 ,8.0 ,1922.9 
25 29 anos ,22215 ,12.4 ,2653.0 ,21659 ,12.9 ,2668.0 ,43874 ,12.7 ,2660.4 
30 34 anos ,22712 ,12.7 ,2803.2 ,20193 ,12.0 ,2569.1 ,42905 ,12.4 ,2687.9 
35 39 anos ,18754 ,10.5 ,2585.5 ,16156 ,9.6 ,2275.9 ,34910 ,10.1 ,2432.3 
40 44 anos ,15730 ,8.8 ,2329.4 ,13607 ,8.1 ,2025.7 ,29337 ,8.5 ,2177.9 
45 49 anos ,15297 ,8.6 ,2423.7 ,14264 ,8.5 ,2227.5 ,29561 ,8.5 ,2324.9 
50 54 anos ,14529 ,8.1 ,2417.3 ,13497 ,8.0 ,2165.1 ,28026 ,8.1 ,2288.9 
55 59 anos ,13650 ,7.6 ,2460.1 ,12269 ,7.3 ,2077.3 ,25919 ,7.5 ,2262.7 
60 64 anos ,10193 ,5.7 ,2164.0 ,8621 ,5.1 ,1663.1 ,18814 ,5.4 ,1901.6 
65 69 anos ,6451 ,3.6 ,1702.5 ,5706 ,3.4 ,1309.7 ,12157 ,3.5 ,1492.4 
70 74 anos ,4515 ,2.5 ,1709.7 ,4316 ,2.6 ,1351.6 ,8831 ,2.5 ,1513.7 
75 79 anos ,3072 ,1.7 ,1741.5 ,3255 ,1.9 ,1371.2 ,6327 ,1.8 ,1529.1 
80 y mas anos ,3718 ,2.1 ,1891.9 ,5837 ,3.5 ,1666.2 ,9555 ,2.8 ,1747.3 
Total ,178789 ,100 ,1862.6 ,167697 ,100 ,1700.9 ,346486 ,100 ,1780.7 
