,,,,,,,,,NumerodeCasos,segun,Fechade,IniciodeSintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE 9 10 ,SE SE 11 12 ,SE SE SE SE SE SE SE SE SE SE 13 14 15 16 17 18 19 20 21 22 ,SE SE 23 24 
Alto del Carmen ,5729 ,2 ,34.9 ,0 ,0.0 ,1 ,17.5 ,1 ,17.5 ,O O ,O O ,O O 0 O 0 O 0 O 0 1 ,1 O 
Caldera ,19426 ,13 ,66.9 ,O ,0.0 ,4 ,20.6 ,4 ,20.6 ,O O ,O O ,O O O O O 2 2 1 1 3 ,2 2 
Chanaral ,13164 ,3 ,22.8 ,O ,0.0 ,2 ,15.2 ,2 ,15.2 ,O O ,O O ,O O 0 O O O O O 1 0 ,1 1 
Copiapo ,171766 ,259 ,150.8 ,O ,0.0 ,111 ,64.6 ,111 ,64.6 ,O O ,1 O ,2 1 4 O 12 26 27 14 25 56 ,84 7 
Diego de Almagro ,14358 ,19 ,132.3 ,O ,0.0 ,4 ,27.9 ,3 ,20.9 ,1 O ,O O ,1 O O O O 1 1 4 3 5 ,2 1 
Freirina ,7681 ,2 ,26.0 ,O ,0.0 ,1 ,13.0 ,1 ,13.0 ,O O ,O O ,O O 0 1 O O O O O O ,1 O 
Huasco ,11264 ,8 ,71.0 ,O ,0.0 ,7 ,62.1 ,7 ,62.1 ,O O ,O O ,O O 0 O 0 1 O O O 2 ,5 O 
Tierra Amarilla ,14312 ,30 ,209.6 ,0 ,0.0 ,6 ,41.9 ,6 ,41.9 ,0 0 ,0 0 ,0 2 3 O 2 5 10 1 0 1 ,6 0 
Vallenar ,57009 ,84 ,147.3 ,O ,0.0 ,27 ,47.4 ,27 ,47.4 ,0 0 ,O 0 ,0 O 1 9 11 9 13 2 6 14 ,19 0 
Total ,314709 ,420 ,133.5 ,0 ,0.0 ,163 ,51.8 ,162 ,51.5 ,1 0 ,1 0 ,3 3 8 10 25 44 53 22 36 82 ,121 11 
