,,,,,,Numerode,CasossegunFecha,deInicio,deSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE SE SE 19 20 21 22 
Ancud ,42458 ,84 ,197.8 ,12 ,28.3 ,12 ,28.3 ,0 O O ,O 1 ,O ,6 3 ,1 21 ,19 23 10 O 
Calbuco ,36744 ,8 ,21.8 ,0 ,0.0 ,O ,0.0 ,0 O O ,3 1 ,1 ,1 1 ,0 0 ,1 0 0 O 
Castro ,47607 ,8 ,16.8 ,O ,0.0 ,O ,0.0 ,O O O ,2 O ,5 ,O 0 ,O O ,1 O O O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O O O ,O 1 ,O ,O O ,O O ,O O O O 
Chonchi ,16013 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O ,0 O ,0 ,O O ,O O ,O O O O 
Cochamo ,4006 ,1 ,25.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 ,O 0 ,0 ,1 0 ,0 0 ,0 0 0 O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 ,0 O ,O ,O O ,0 0 ,0 O 0 O 
Dalcahue ,15069 ,6 ,39.8 ,3 ,19.9 ,2 ,13.3 ,O O O ,O O ,O ,O O ,0 O ,1 3 2 O 
Fresia ,12656 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 ,0 0 ,0 ,O 0 ,0 0 ,0 O O O 
Frutillar ,20223 ,11 ,54.4 ,4 ,19.8 ,4 ,19.8 ,0 O O ,0 1 ,3 ,2 0 ,0 O ,1 0 3 1 
Futaleufu ,2806 ,1 ,35.6 ,1 ,35.6 ,1 ,35.6 ,0 O 0 ,0 O ,O ,O O ,0 0 ,0 1 0 0 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,O ,0.0 ,O O 0 ,0 3 ,O ,O 0 ,O 0 ,0 O O O 
Llanquihue ,18621 ,6 ,32.2 ,O ,0.0 ,O ,0.0 ,O O O ,0 1 ,0 ,O O ,O O ,5 O O O 
Los Muermos ,17817 ,2 ,11.2 ,O ,0.0 ,O ,0.0 ,O O O ,1 O ,O ,O O ,O O ,1 O 0 O 
Maullin ,14894 ,15 ,100.7 ,10 ,67.1 ,10 ,67.1 ,0 O O ,O O ,O ,1 O ,0 O ,O 5 9 O 
Osorno& ,173410 ,355 ,204.7 ,13 ,7.5 ,13 ,7.5 ,0 O 3 ,58 104 ,65 ,36 18 ,15 19 ,14 10 7 6 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O ,O O ,0 O O O 
Puerto Montt ,269398 ,122 ,45.3 ,50 ,18.6 ,50 ,18.6 ,O 1 1 ,13 18 ,11 ,3 5 ,O 1 ,6 17 44 2 
Puerto Octay ,9192 ,5 ,54.4 ,0 ,0.0 ,0 ,0.0 ,0 O O ,1 O ,0 ,0 1 ,1 O ,2 O 0 O 
