,,,Numerode,Casossegun,Fecha,deIniciode,Sintomas.,,Notificacion,o,Tomade,Muestra,
Comuna ,SE 9 ,SE SE 10 11 ,SE SE SE 12 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE SE 19 20 21 ,SE SE 22 23 ,SE 24 ,SE 25 ,SE 26 ,SE SE 27 28 ,SE 29 ,SE SE 30 31 
Alto del Carmen ,O ,O O ,O O O ,O O ,O O ,O O O ,1 3 ,1 ,1 ,1 ,1 2 ,1 ,O O 
Caldera ,O ,O O ,O O O ,O O ,O 2 ,2 1 1 ,3 2 ,7 ,5 ,14 ,7 6 ,18 ,13 O 
Chanaral ,O ,O O ,O O O ,O O ,O O ,O O 1 ,O 2 ,6 ,12 ,2 ,4 9 ,6 ,6 1 
Copiapo & ,O ,O 1 ,O 3 1 ,4 O ,12 27 ,27 14 26 ,57 114 ,121 ,145 ,153 ,173 193 ,271 ,400 83 
Diego de Almagro ,1 ,O O ,O 1 O ,O O ,O 1 ,1 4 3 ,6 4 ,9 ,4 ,2 ,10 4 ,1 ,3 O 
Freirina & ,O O ,O ,O O O ,O 1 ,O O ,O O O ,O 2 ,1 ,5 ,3 ,10 23 ,3 ,4 3 
Huasco ,O O ,O ,O O O ,O O ,O 1 ,O O O ,2 6 ,3 ,4 ,6 ,3 O ,1 ,6 O 
Tierra Amarilla & ,O O ,O ,O O 2 ,3 O ,2 5 ,10 2 O ,1 10 ,15 ,11 ,5 ,14 22 ,22 ,34 3 
Vallenar & ,O O ,O ,O O O ,1 8 ,12 10 ,13 2 6 ,15 27 ,55 ,66 ,53 ,73 60 ,33 ,27 O 
Desconocido & ,O O ,O ,O O O ,O O ,O O ,O O O ,O O ,O ,9 ,1 ,2 1 ,3 ,2 O 
Total ,1 ,0 1 ,0 4 3 ,8 9 ,26 46 ,53 23 37 ,85 170 ,218 ,262 ,240 ,297 320 ,359 ,495 90 
