,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,4244 ,2.0 ,699.7 ,3895 ,1.9 ,667.1 ,8139 ,1.9 ,683.7 
05 09 anos ,3495 ,1.6 ,535.3 ,3349 ,1.6 ,532.0 ,6844 ,1.6 ,533.7 
10 14 anos ,3998 ,1.8 ,621.0 ,4121 ,2.0 ,663.2 ,8119 ,1.9 ,641.7 
15 19 anos ,6706 ,3.1 ,1046.8 ,7658 ,3.7 ,1236.3 ,14364 ,3.4 ,1139.9 
20 24 anos ,16966 ,7.8 ,2314.6 ,17027 ,8.3 ,2397.6 ,33993 ,8.0 ,2355.4 
25 29 anos ,26639 ,12.3 ,3181.3 ,26188 ,12.7 ,3225.9 ,52827 ,12.5 ,3203.3 
30 34 anos ,27182 ,12.5 ,3354.9 ,24413 ,11.9 ,3106.1 ,51595 ,12.2 ,3232.3 
35 39 anos ,22299 ,10.3 ,3074.2 ,19507 ,9.5 ,2747.9 ,41806 ,9.9 ,2912.8 
40 44 anos ,18845 ,8.7 ,2790.7 ,16560 ,8.0 ,2465.3 ,35405 ,8.4 ,2628.4 
45 49 anos ,18439 ,8.5 ,2921.5 ,17246 ,8.4 ,2693.2 ,35685 ,8.4 ,2806.5 
50 54 anos ,17532 ,8.1 ,2917.0 ,16405 ,8.0 ,2631.6 ,33937 ,8.0 ,2771.7 
55 59 anos ,16478 ,7.6 ,2969.7 ,14980 ,7.3 ,2536.3 ,31458 ,7.4 ,2746.3 
60 64 anos ,12373 ,5.7 ,2626.8 ,10674 ,5.2 ,2059.2 ,23047 ,5.4 ,2329.4 
65 69 anos ,7851 ,3.6 ,2071.9 ,7128 ,3.5 ,1636.0 ,14979 ,3.5 ,1838.8 
70 74 anos ,5598 ,2.6 ,2119.9 ,5361 ,2.6 ,1678.9 ,10959 ,2.6 ,1878.5 
75 79 anos ,3821 ,1.8 ,2166.1 ,4142 ,2.0 ,1744.8 ,7963 ,1.9 ,1924.4 
80 y mas anos ,4629 ,2.1 ,2355.5 ,7269 ,3.5 ,2075.0 ,11898 ,2.8 ,2175.8 
Total ,217095 ,100 ,2261.6 ,205923 ,100 ,2088.6 ,423018 ,100 ,2174.0 
