,,,,NumerodeCasos,segun,Fecha,deInicio,deSintomas.,Notificacion,oTomadeMuestra,
,Residencia ,SE ,SE SE SE SE ,SE SE SE SE SE SE ,SE ,SE ,SE ,SE SE ,SE ,SE SE SE SE SE SE SE ,SE SE SE SE SE 
Region de Notificacion o Toma de Muestra ,Desconocida ,9 ,10 11 12 13 ,14 15 16 17 18 19 ,20 ,21 ,22 ,23 24 ,25 ,26 27 28 29 30 31 32 ,33 34 35 36 37 
Region de Arica y Parinacota ,24 ,O ,O O O O ,O 1 O O O O ,O ,O ,O ,O O ,O ,O O O 2 3 3 10 ,2 2 O 1 O 
Region de Tarapaca ,457 ,O ,O O O O ,O 1 O 1 5 95 ,29 ,25 ,25 ,31 25 ,20 ,22 15 20 33 35 14 16 ,13 11 13 8 O 
Region de Antofagasta ,285 ,O ,O O O O ,O O 1 5 O 1 ,1 ,O ,O ,5 10 ,41 ,30 27 21 23 21 27 26 ,14 14 8 10 O 
Region de Atacama ,36 ,O ,O O O O ,O O O O O O ,O ,O ,O ,O O ,9 ,1 2 1 3 2 O 11 ,2 3 1 1 O 
Region de Coquimbo ,140 ,O ,O O 1 O ,3 1 1 1 O 1 ,3 ,10 ,8 ,9 17 ,11 ,16 10 18 12 2 8 4 ,2 O O 2 O 
Region de Valparaiso ,436 ,O ,O O 2 3 ,3 1 1 O O 11 ,7 ,6 ,37 ,27 36 ,57 ,46 51 25 24 11 10 11 ,8 12 16 31 O 
Region Metropolitana de Santiago ,14929 ,O ,O 6 9 19 ,54 176 360 533 644 1322 ,2014 ,2294 ,1597 ,1241 1257 ,1304 ,773 413 258 152 89 103 51 ,29 50 71 110 O 
Region del Libertador General Bernardo OHiggins ,48 ,O ,0 O O 0 ,0 1 O O O 1 ,1 ,2 ,O ,6 1 ,6 ,7 2 6 2 5 O 1 ,O O 5 2 O 
Region del Maule ,7 ,O ,O O O O ,O O O O O O ,O ,O ,O ,1 2 ,O ,O O O 1 O O O ,O 1 2 O O 
Region del Nuble ,3 ,O ,O O O O ,O O O O O O ,O ,O ,O ,O O ,O ,O O 1 O O O O ,O 1 O 1 O 
Region del Biobio ,180 ,O ,O O 1 O ,O O O O O 2 ,4 ,6 ,6 ,9 6 ,27 ,35 7 11 11 10 11 7 ,3 7 9 8 O 
Region de la Araucania ,2 ,O ,O O O 1 ,O O O O O O ,O ,O ,O ,O O ,O ,O O O O O O O ,O O O 1 O 
Region de Los Rios ,7 ,0 ,O 1 O O ,O 1 1 O O 0 ,O ,O ,1 ,0 1 ,1 ,O O O O O O 1 ,O O O O O 
Region de Los Lagos ,75 ,O ,O 9 10 3 ,1 O 1 3 O 1 ,1 ,2 ,3 ,1 1 ,3 ,3 4 12 4 1 2 O ,O 0 2 8 O 
Region de Aysen del General Carlos ibanez del Campo ,1 ,O ,O 1 O O ,O O O O O O ,O ,O ,O ,O O ,O ,O O O O O O O ,O O O O O 
Region de Magallanes y la Antartica Chilena ,21 ,O ,O O 0 O ,0 O O O O O ,O ,O ,O ,O 1 ,O ,O 1 O O 1 O O ,O 5 O 13 O 
Desconocido ,54 ,O ,O O 2 9 ,1 1 1 1 3 4 ,O ,6 ,3 ,21 O ,O ,O O O O O O 1 ,O O O O O 
Total pais ,16705 ,0 ,0 17 25 35 ,62 183 366 544 652 1438 ,2060 ,2351 ,1680 ,1351 1357 ,1479 ,933 532 373 267 180 178 139 ,73 106 127 196 0 
