,,,,,,,,,NumerodeCasos,segunFechade,IniciodeSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE SE SE SE 17 18 19 20 21 ,SE SE SE SE 22 23 24 25 
Ancud& ,42458 ,93 ,219.0 ,O ,0.0 ,7 ,16.5 ,7 ,16.5 ,O O O 0 ,1 O 6 3 ,1 21 19 23 10 ,2 4 3 O 
Calbuco ,36744 ,10 ,27.2 ,0 ,0.0 ,1 ,2.7 ,1 ,2.7 ,0 0 O 3 ,1 1 1 1 ,O 0 1 O 0 ,1 O 1 O 
Castro ,47607 ,9 ,18.9 ,0 ,0.0 ,1 ,2.1 ,1 ,2.1 ,0 O O 2 ,O 5 0 0 ,O O 1 O 0 ,0 0 1 0 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 0 O 0 ,1 0 0 0 ,0 0 0 0 0 ,0 0 0 O 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O O 0 ,O 0 0 0 ,0 0 0 0 0 ,0 0 0 0 
Cochamo ,4006 ,1 ,25.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O 0 ,O 0 1 0 ,O 0 0 O 0 ,0 0 0 O 
Curaco de Velez ,4066 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 0 0 ,0 0 0 0 0 ,0 0 0 0 
Dalcahue ,15069 ,7 ,46.5 ,0 ,0.0 ,1 ,6.6 ,1 ,6.6 ,0 O O 0 ,O 0 0 0 ,0 0 1 3 2 ,0 0 1 O 
Fresia ,12656 ,2 ,15.8 ,0 ,0.0 ,2 ,15.8 ,2 ,15.8 ,0 0 0 0 ,O 0 0 0 ,0 0 0 0 0 ,0 0 2 0 
Frutillar ,20223 ,15 ,74.2 ,0 ,0.0 ,3 ,14.8 ,3 ,14.8 ,0 0 0 0 ,1 3 2 0 ,0 0 1 0 3 ,2 3 0 0 
Futaleufu ,2806 ,1 ,35.6 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,O 0 0 0 ,O 0 O 1 0 ,0 0 0 0 
Hualaihue ,9525 ,4 ,42.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O 0 0 ,3 0 0 0 ,O 0 0 O 0 ,1 0 0 0 
Llanquihue ,18621 ,9 ,48.3 ,O ,0.0 ,2 ,10.7 ,2 ,10.7 ,0 0 0 0 ,1 0 0 0 ,0 0 5 0 0 ,1 2 0 0 
Los Muermos ,17817 ,3 ,16.8 ,O ,0.0 ,1 ,5.6 ,1 ,5.6 ,O O 0 1 ,O 0 0 0 ,0 0 1 0 0 ,O 0 1 0 
Maullin ,14894 ,15 ,100.7 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 O 0 0 ,O 0 1 0 ,O 0 0 5 9 ,0 O 0 0 
Osorno& ,173410 ,419 ,241.6 ,10 ,5.8 ,28 ,16.1 ,28 ,16.1 ,0 0 3 58 ,104 64 36 18 ,15 19 14 9 19 ,31 22 7 0 
Palena ,1827 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 ,O O 0 0 ,0 0 0 0 O ,0 0 O 0 
Puerto Montt& ,269398 ,303 ,112.5 ,1 ,0.4 ,105 ,39.0 ,104 ,38.6 ,O 1 1 13 ,18 11 3 5 ,O 1 7 17 55 ,57 58 56 0 
Puerto Octay ,9192 ,5 ,54.4 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 0 1 ,O 0 0 1 ,1 0 2 O 0 ,0 0 0 0 
