,,,,,,,NumerodeCasos,segunFechade,Inicio,deSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE SE 14 15 16 17 ,SE 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 
Angol ,56058 ,157 ,280.1 ,26 ,46.4 ,26 ,46.4 ,O 1 1 3 ,10 ,11 15 35 27 ,11 ,10 6 ,22 ,5 O 
Carahue ,25486 ,53 ,208.0 ,10 ,39.2 ,10 ,39.2 ,O O O O ,3 ,10 9 8 5 ,1 ,O 2 ,10 ,5 O 
Cholchol ,12341 ,7 ,56.7 ,2 ,16.2 ,2 ,16.2 ,O 0 O 1 ,2 ,O 0 1 O ,0 ,1 O ,1 ,1 0 
Collipulli ,26148 ,29 ,110.9 ,10 ,38.2 ,10 ,38.2 ,O O O O ,O ,1 1 1 3 ,O ,2 9 ,8 ,4 O 
Cunco ,18055 ,29 ,160.6 ,13 ,72.0 ,13 ,72.0 ,O O O O ,3 ,2 O 1 O ,O ,1 5 ,17 ,O O 
Curacautin ,18178 ,8 ,44.0 ,1 ,5.5 ,1 ,5.5 ,O O O 2 ,O ,2 0 0 2 ,0 ,1 O ,O ,1 0 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,0 ,0.0 ,0 0 1 1 ,2 ,O 0 0 0 ,0 ,0 0 ,0 ,0 0 
Ercilla ,8458 ,16 ,189.2 ,5 ,59.1 ,5 ,59.1 ,O 0 O O ,O ,4 1 4 1 ,1 ,O O ,4 ,1 O 
Freire ,25446 ,66 ,259.4 ,32 ,125.8 ,32 ,125.8 ,O O O 2 ,4 ,O O 2 O ,O ,11 11 ,28 ,8 O 
Galvarino ,12633 ,17 ,134.6 ,14 ,110.8 ,14 ,110.8 ,0 0 0 O ,1 ,1 0 0 0 ,1 ,0 O ,6 ,8 0 
Gorbea ,15148 ,20 ,132.0 ,4 ,26.4 ,4 ,26.4 ,0 0 1 4 ,4 ,1 0 1 O ,1 ,3 O ,4 ,1 0 
Lautaro ,40746 ,78 ,191.4 ,20 ,49.1 ,20 ,49.1 ,1 0 O 6 ,3 ,15 5 6 2 ,8 ,9 3 ,10 ,10 O 
Loncoche' ,24739 ,41 ,165.7 ,17 ,68.7 ,17 ,68.7 ,O O O 2 ,3 ,2 4 3 3 ,1 ,2 2 ,6 ,13 0 
Lonquimay ,11049 ,61 ,552.1 ,5 ,45.3 ,5 ,45.3 ,0 O O 0 ,O ,0 0 0 2 ,13 ,12 25 ,8 ,1 0 
Los Sauces ,7517 ,2 ,26.6 ,1 ,13.3 ,1 ,13.3 ,O 0 O O ,O ,O 0 1 0 ,0 ,O 0 ,O ,1 0 
Lumaco ,10050 ,11 ,109.5 ,3 ,29.9 ,3 ,29.9 ,0 0 O 0 ,O ,O O 4 2 ,1 ,O 1 ,3 ,O 0 
Melipeuco ,6265 ,5 ,79.8 ,5 ,79.8 ,5 ,79.8 ,O O O 0 ,O ,0 0 0 O ,0 ,O O ,5 ,O 0 
Nueva Imperial ,33777 ,55 ,162.8 ,2 ,5.9 ,2 ,5.9 ,O O O 4 ,10 ,4 12 7 3 ,2 ,6 5 ,2 ,O O 
Padre Las Casas & ,82110 ,154 ,187.6 ,17 ,20.7 ,17 ,20.7 ,O O O 12 ,28 ,24 16 15 11 ,0 ,5 24 ,13 ,6 0 
