,,,,,,,,,,Numero,deCasos,Nuevos,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (4 de abril al 11 de abril) 
Aisen ,25002 ,3 ,16.0 ,1 ,4.0 ,1 ,4.0 ,0 ,0 ,1 ,1 ,O ,1 ,0 
Chile Chico ,5121 ,1 ,19.5 ,1 ,19.5 ,1 ,19.5 ,O ,O ,0 ,O ,0 ,1 ,0 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0 ,O ,O ,0 ,O ,O 
Cochrane ,3685 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,O ,O ,O 
Coyhaique ,61210 ,2 ,1.6 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,2 ,O ,O ,0 ,O 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,O ,0 ,O ,0 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,0 ,O ,0 
O'Higgins ,661 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,O ,O ,O ,0 
Rio Ibanez ,2699 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,O ,O ,0 ,0 
Tortel ,572 ,1 ,174.8 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,1 ,O ,O ,0 ,0 
Total ,107297 ,7 ,6.5 ,2 ,1.9 ,2 ,1.9 ,0 ,0 ,4 ,1 ,0 ,2 ,0 
