,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE 13 14 ,,SE SE SE SE SE 15 16 17 18 19 
Chepica ,15925 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,,0 0 0 0 0 
Chimbarongo ,37696 ,2 ,5.3 ,0 ,0.0 ,0 ,0.0 ,0 0 0 1 ,1 0 ,,0 0 0 0 0 
Codegua ,14096 ,3 ,21.3 ,1 ,7.1 ,1 ,7.1 ,0 0 0 1 ,0 0 ,,0 0 1 0 1 
Coinco ,7831 ,2 ,25.5 ,1 ,12.8 ,1 ,12.8 ,0 0 0 0 ,0 0 ,,0 0 1 0 1 
Coltauco ,21263 ,3 ,14.1 ,3 ,14.1 ,3 ,14.1 ,0 0 0 0 ,0 0 ,,0 0 0 0 3 
Donihue ,22700 ,6 ,26.4 ,5 ,22.0 ,5 ,22.0 ,0 0 0 0 ,0 0 ,,0 1 0 3 2 
Graneros ,36504 ,17 ,46.6 ,15 ,41.1 ,15 ,41.1 ,0 0 0 0 ,0 0 ,,0 0 2 6 9 
La Estrella ,3114 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,,0 0 0 0 0 
Las Cabras ,26749 ,10 ,37.4 ,2 ,7.5 ,2 ,7.5 ,0 0 0 0 ,0 0 ,,1 2 4 3 0 
Litueche ,6765 ,8 ,118.3 ,2 ,29.6 ,2 ,29.6 ,0 0 0 0 ,0 0 ,,0 1 5 2 0 
Lolol ,7289 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,,0 0 0 0 0 
Machali ,59913 ,20 ,33.4 ,5 ,8.3 ,5 ,8.3 ,0 0 1 4 ,1 0 ,,4 0 5 3 2 
Malloa ,14163 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,,0 0 0 0 0 
Marchihue ,7632 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,,0 0 0 0 0 
Mostazal ,27462 ,3 ,10.9 ,3 ,10.9 ,3 ,10.9 ,0 0 0 0 ,0 0 ,,0 0 0 2 1 
Nancagua ,19141 ,2 ,10.4 ,2 ,10.4 ,2 ,10.4 ,0 0 0 0 ,0 0 ,,0 0 0 1 1 
Navidad& ,6904 ,4 ,57.9 ,1 ,14.5 ,1 ,14.5 ,0 0 0 0 ,0 O ,,0 0 3 0 1 
Olivar ,14624 ,7 ,47.9 ,1 ,6.8 ,1 ,6.8 ,0 0 0 0 ,1 2 ,,2 1 0 0 1 
Palmilla ,13299 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,,0 0 0 0 0 
Paredones ,6349 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 0 ,,0 0 0 0 0 
