,,Numerode,Casos,segunFecha,de,Iniciode,Sintomas.,Notificacion,O,Toma,de,Muestra,,
,SE SE SE ,SE SE SE SE ,SE ,SE SE ,SE ,SE SE ,SE SE ,SE ,SE ,SE ,SE ,SE ,SE ,SE SE 
Comuna ,9 10 11 ,12 13 14 15 ,16 ,17 18 ,19 ,20 21 ,22 23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 31 
Alto Biobio & ,O O O ,O O O O ,O ,O O ,O ,7 43 ,51 27 ,11 ,10 ,2 ,7 ,11 ,2 ,1 O 
Antuco ,O O O ,O 0 O O ,O ,O 0 ,2 ,2 2 ,13 2 ,5 ,14 ,4 ,5 ,5 ,1 ,7 O 
Arauco ,O O 1 ,2 2 1 O ,0 ,O 5 ,4 ,14 17 ,24 22 ,34 ,65 ,62 ,29 ,11 ,31 ,42 18 
Cabrero ,O O O ,1 O 4 3 ,7 ,1 3 ,4 ,2 3 ,3 8 ,24 ,35 ,14 ,11 ,11 ,11 ,1 2 
Canete ,O O O ,O O O O ,O ,O O ,O ,1 9 ,4 7 ,1 ,7 ,4 ,3 ,12 ,32 ,32 3 
Chiguayante & ,0 O 5 ,5 9 16 12 ,10 ,13 8 ,7 ,9 9 ,27 40 ,59 ,52 ,51 ,60 ,72 ,61 ,63 9 
Concepcion & ,1 1 7 ,28 31 23 23 ,18 ,14 20 ,19 ,21 92 ,99 135 ,252 ,253 ,167 ,128 ,135 ,153 ,122 30 
Contulmo ,O O O ,O O O O ,O ,O O ,O ,O 1 ,1 O ,O ,11 ,27 ,3 ,O ,2 ,1 O 
Coronel & ,O O 1 ,6 7 4 1 ,0 ,5 2 ,13 ,16 50 ,132 110 ,153 ,225 ,170 ,148 ,100 ,112 ,93 20 
Curanilahue ,0 0 O ,1 0 O O ,0 ,O 1 ,3 ,O 2 ,4 12 ,9 ,17 ,19 ,25 ,46 ,35 ,21 2 
Florida ,O O O ,O 2 1 O ,O ,O O ,2 ,O 2 ,O O ,7 ,7 ,11 ,2 ,4 ,6 ,15 O 
Hualpen & ,O O 3 ,23 33 27 17 ,8 ,2 6 ,11 ,9 17 ,31 26 ,74 ,87 ,107 ,71 ,84 ,69 ,57 3 
Hualqui ,O 0 1 ,1 2 3 4 ,9 ,0 1 ,2 ,5 12 ,7 13 ,17 ,38 ,30 ,15 ,15 ,25 ,11 6 
Laja ,O 1 1 ,O 3 1 1 ,1 ,5 1 ,17 ,20 8 ,7 6 ,10 ,15 ,20 ,18 ,17 ,14 ,14 2 
Lebu ,O O O ,O O O O ,O ,O 1 ,1 ,O O ,6 6 ,5 ,8 ,3 ,O ,2 ,7 ,4 O 
Los Alamos ,O O O ,O O O 1 ,O ,O 1 ,O ,1 O ,3 4 ,4 ,38 ,28 ,14 ,11 ,16 ,14 1 
Los Angeles ,O O 3 ,6 9 6 5 ,4 ,O 4 ,32 ,64 89 ,78 87 ,89 ,136 ,160 ,115 ,99 ,102 ,76 13 
Lota & ,O O O ,1 O 1 O ,O ,O 1 ,16 ,10 15 ,21 23 ,44 ,67 ,63 ,56 ,37 ,32 ,37 10 
Mulchen & ,O O O ,1 4 O O ,O ,O 2 ,3 ,1 1 ,11 3 ,3 ,12 ,27 ,26 ,26 ,8 ,2 1 
Nacimiento ,O O O ,2 3 3 2 ,O ,1 3 ,8 ,4 8 ,7 6 ,20 ,30 ,28 ,17 ,15 ,5 ,4 O 
Negrete ,O O O ,O O 2 O ,O ,O O ,7 ,12 10 ,9 12 ,21 ,15 ,17 ,6 ,12 ,4 ,5 O 
Penco & ,O O O ,1 4 3 3 ,9 ,O 3 ,2 ,2 10 ,14 43 ,74 ,50 ,52 ,46 ,39 ,55 ,53 3 
Quilaco ,O O O ,O O O O ,O ,0 O ,O ,O O ,2 3 ,1 ,1 ,5 ,O ,1 ,3 ,3 O 
Quilleco ,O 0 O ,O O O O ,O ,O O ,O ,O 1 ,2 2 ,2 ,1 ,8 ,12 ,10 ,6 ,5 1 
