,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,4337 ,2.0 ,715.1 ,3986 ,1.9 ,682.7 ,8323 ,1.9 ,699.2 
05 09 anos ,3582 ,1.6 ,548.7 ,3456 ,1.6 ,549.0 ,7038 ,1.6 ,548.8 
10 14 anos ,4089 ,1.9 ,635.1 ,4235 ,2.0 ,681.5 ,8324 ,1.9 ,657.9 
15 19 anos ,6879 ,3.1 ,1073.8 ,7838 ,3.7 ,1265.3 ,14717 ,3.4 ,1168.0 
20 24 anos ,17222 ,7.8 ,2349.5 ,17356 ,8.3 ,2443.9 ,34578 ,8.0 ,2396.0 
25 29 anos ,27031 ,12.3 ,3228.1 ,26628 ,12.7 ,3280.2 ,53659 ,12.5 ,3253.7 
30 34 anos ,27543 ,12.5 ,3399.4 ,24821 ,11.8 ,3158.0 ,52364 ,12.2 ,3280.5 
35 39 anos ,22568 ,10.2 ,3111.3 ,19832 ,9.5 ,2793.7 ,42400 ,9.9 ,2954.2 
40 44 anos ,19095 ,8.7 ,2827.7 ,16813 ,8.0 ,2503.0 ,35908 ,8.4 ,2665.8 
45 49 anos ,18692 ,8.5 ,2961.6 ,17474 ,8.3 ,2728.8 ,36166 ,8.4 ,2844.3 
50 54 anos ,17766 ,8.1 ,2955.9 ,16663 ,8.0 ,2673.0 ,34429 ,8.0 ,2811.9 
55 59 anos ,16700 ,7.6 ,3009.8 ,15236 ,7.3 ,2579.7 ,31936 ,7.4 ,2788.0 
60 64 anos ,12558 ,5.7 ,2666.1 ,10856 ,5.2 ,2094.3 ,23414 ,5.4 ,2366.5 
65 69 anos ,7973 ,3.6 ,2104.1 ,7268 ,3.5 ,1668.2 ,15241 ,3.5 ,1871.0 
70 74 anos ,5681 ,2.6 ,2151.3 ,5454 ,2.6 ,1708.0 ,11135 ,2.6 ,1908.7 
75 79 anos ,3894 ,1.8 ,2207.5 ,4206 ,2.0 ,1771.8 ,8100 ,1.9 ,1957.5 
80 y mas anos ,4712 ,2.1 ,2397.7 ,7375 ,3.5 ,2105.2 ,12087 ,2.8 ,2210.4 
Total ,220322 ,100.0 ,2295.2 ,209497 ,100.0 ,2124.9 ,429819 ,100.0 ,2208.9 
