,,,,,,,,Numerode,Casos,segunFecha,deInicio,de,Sintomas,(segun,semana,,epidemiologica)
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,9 10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 
Corral ,5447 ,1 ,18.4 ,0 ,0.0 ,0 ,0.0 ,O O ,O ,0 ,0 ,0 ,0 ,1 ,0 ,O ,O 
Futrono ,15261 ,5 ,32.8 ,0 ,0.0 ,O ,0.0 ,O O ,O ,1 ,3 ,1 ,0 ,O ,0 ,O ,O 
La Union ,39538 ,39 ,98.6 ,6 ,15.2 ,6 ,15.2 ,O O ,1 ,5 ,8 ,5 ,5 ,9 ,4 ,2 ,O 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,O ,0.0 ,O O ,O ,1 ,1 ,O ,0 ,O ,O ,O ,O 
Lanco ,17652 ,7 ,39.7 ,1 ,5.7 ,1 ,5.7 ,O O ,O ,O ,1 ,2 ,1 ,2 ,O ,1 ,O 
Los Lagos ,20518 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,0 ,O ,0 ,O ,O 
Mafil ,7389 ,2 ,27.1 ,O ,0.0 ,O ,0.0 ,O O ,O ,1 ,O ,O ,O ,1 ,O ,O ,O 
Mariquina ,23250 ,9 ,38.7 ,O ,0.0 ,O ,0.0 ,O O ,O ,3 ,1 ,4 ,1 ,O ,O ,O ,O 
Paillaco ,20798 ,1 ,4.8 ,O ,0.0 ,O ,0.0 ,O 0 ,O ,1 ,O ,O ,0 ,O ,O ,O ,O 
Panguipulli ,35991 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O ,O ,O ,O ,0 ,0 ,0 ,O ,O 
Rio Bueno ,32925 ,13 ,39.5 ,3 ,9.1 ,3 ,9.1 ,O O ,O ,3 ,1 ,4 ,1 ,1 ,2 ,1 ,O 
Valdivia ,176774 ,121 ,68.4 ,10 ,5.7 ,10 ,5.7 ,O 1 ,1 ,26 ,32 ,26 ,17 ,7 ,7 ,4 ,O 
Total ,405835 ,200 ,49.3 ,20 ,4.9 ,20 ,4.9 ,0 1 ,2 ,41 ,47 ,42 ,25 ,21 ,13 ,8 ,0 
